Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Ticker
1.0,202.0,219.0,661.2874755859375,602.1863492647727,,824.6828043621465,-59.10112632116477,-0.08937281969358013,2024-10-15,2024-11-07,23 days,,ASML.AS
1.0,219.0,272.0,619.7672119140625,693.4705109092146,,811.9078492389413,73.70329899515207,0.11892093931127778,2024-11-07,2025-01-24,78 days,,ASML.AS
1.0,318.0,322.0,602.517578125,556.4324135013594,,790.8069806866555,-46.085164623640594,-0.07648766823875075,2025-03-31,2025-04-04,4 days,,ASML.AS
1.0,322.0,324.0,560.8583984375,570.5026245117188,540.8692158833672,666.4322026398261,9.64422607421875,0.017195474118042453,2025-04-04,2025-04-08,4 days,; stop-loss tightened during volatility spike; closed_due to volatility spike,ASML.AS
1.0,325.0,327.0,551.1146850585938,587.5044282040807,,804.6265253462869,36.38974314548693,0.06602934766947466,2025-04-09,2025-04-11,2 days,; stop-loss tightened during volatility spike,ASML.AS
6.0,199.0,212.0,74.8408432006836,76.55683135986328,,,10.295928955078125,0.02292849847480083,2024-10-10,2024-10-29,19 days,; partially_closed,HEIA.AS
7.0,199.0,213.0,74.8408432006836,75.1664911947871,,97.0156060710313,2.279535958724537,0.004351206910246708,2024-10-10,2024-10-30,20 days,; partially_closed,HEIA.AS
13.0,213.0,218.0,74.54833984375,71.07929335661069,,96.17969627593949,-45.09760433281102,-0.04653418834557921,2024-10-30,2024-11-06,7 days,,HEIA.AS
13.0,218.0,228.0,70.39484405517578,68.0480251177441,,91.92418761336071,-30.508646186611813,-0.0333379378693166,2024-11-06,2024-11-20,14 days,,HEIA.AS
13.0,228.0,251.0,68.56185150146484,66.25110634351299,,88.78320943662526,-30.039687053374138,-0.03370307404697914,2024-11-20,2024-12-23,33 days,,HEIA.AS
13.0,251.0,262.0,66.53385162353516,64.5741121797581,,86.5541231701982,-25.476612769101692,-0.029454772209276836,2024-12-23,2025-01-10,18 days,,HEIA.AS
13.0,262.0,280.0,63.35536575317383,63.234458834716904,,82.07064765616786,-1.5717899399400181,-0.0019083927149591284,2025-01-10,2025-02-05,26 days,,HEIA.AS
6.0,280.0,284.0,63.45286560058594,66.26085662841797,,,16.847946166992188,0.04425317913153637,2025-02-05,2025-02-11,6 days,; partially_closed,HEIA.AS
7.0,280.0,286.0,63.45286560058594,77.39532470703125,75.99682576955367,82.85589151061576,97.59721374511719,0.2197293845514925,2025-02-05,2025-02-13,8 days,; partially_closed; stop-loss tightened during volatility spike; closed_due to volatility spike,HEIA.AS
28.0,200.0,206.0,17.78717803955078,21.290565490722656,,,98.0948486328125,0.19696139788908051,2024-10-11,2024-10-21,10 days,; partially_closed,JDEP.AS
28.0,200.0,207.0,17.78717803955078,20.904518127441406,20.739849463456505,23.06793281324045,87.2855224609375,0.17525770984914213,2024-10-11,2024-10-22,11 days,; partially_closed; stop-loss tightened during volatility spike; closed_due to volatility spike,JDEP.AS
67.0,246.0,249.0,17.516942977905273,15.874790902773272,,21.927073447135037,-110.0241890338441,-0.09374649887273734,2024-12-16,2024-12-19,3 days,,JDEP.AS
34.0,249.0,267.0,15.943799018859863,16.822057723999023,,,29.860795974731445,0.055084657307851836,2024-12-19,2025-01-17,29 days,; partially_closed,JDEP.AS
33.0,249.0,270.0,15.943799018859863,16.138232521610743,,20.41010728949102,6.4163055907790145,0.01219492935911215,2024-12-19,2025-01-22,34 days,; partially_closed,JDEP.AS
34.0,270.0,276.0,15.88640308380127,16.585681915283203,,,23.775480270385742,0.044017442324308265,2025-01-22,2025-01-30,8 days,; partially_closed,JDEP.AS
35.0,270.0,280.0,15.88640308380127,15.960970305924167,,20.636439098603216,2.6098527743014266,0.004693776289670604,2025-01-22,2025-02-05,14 days,; partially_closed,JDEP.AS
35.0,280.0,287.0,15.915950775146484,16.694021224975586,,,27.232465744018555,0.048886206097350726,2025-02-05,2025-02-14,9 days,; partially_closed,JDEP.AS
35.0,280.0,296.0,15.915950775146484,17.994086027987777,,20.674820243303486,72.73473384944523,0.1305693440624609,2025-02-05,2025-02-27,22 days,; partially_closed,JDEP.AS
47.0,321.0,323.0,21.144556045532227,18.165096226745412,,26.99235276234398,-140.0346114829803,-0.14090907429651922,2025-04-03,2025-04-07,4 days,,PHIA.AS
44.0,323.0,324.0,19.289602279663086,19.760547637939453,18.854215161848874,25.356828910277116,20.721595764160156,0.024414466998776918,2025-04-07,2025-04-08,1 days,; stop-loss tightened during volatility spike; closed_due to volatility spike,PHIA.AS
46.0,325.0,326.0,18.93879508972168,19.318435668945312,20.652542384071253,27.716477249085134,17.46346664428711,0.020045656411883828,2025-04-09,2025-04-10,1 days,; stop-loss tightened during volatility spike; closed_due to volatility spike,PHIA.AS
42.0,341.0,353.0,21.029220581054688,20.485586293798733,,26.767626013993496,-22.83264006475011,-0.025851375953786726,2025-05-06,2025-05-22,16 days,,PHIA.AS
42.0,353.0,372.0,20.420000076293945,19.299999237060547,,26.707439306259158,-47.040035247802734,-0.05484822894460384,2025-05-22,2025-06-18,27 days,,PHIA.AS
21.0,372.0,377.0,19.280000686645508,20.489999771118164,,,25.40998077392578,0.06275928637859307,2025-06-18,2025-06-25,7 days,; partially_closed,PHIA.AS
21.0,372.0,401.0,19.280000686645508,24.87584950447083,21.593500518798827,24.87584950447083,117.51282517433174,0.2902411109197389,2025-06-18,2025-07-29,41 days,; partially_closed,PHIA.AS
26.0,249.0,262.0,37.31161880493164,37.211627777852605,,48.08064442666378,-2.5997667040549146,-0.0026798898113158387,2024-12-19,2025-01-10,22 days,,RAND.AS
13.0,262.0,269.0,37.11933898925781,39.93621826171875,,,36.61943054199219,0.07588710761460837,2025-01-10,2025-01-21,11 days,; partially_closed,RAND.AS
13.0,262.0,276.0,37.11933898925781,39.24977949842067,,48.043181104366965,27.695726619117174,0.057394354726505226,2025-01-10,2025-01-30,20 days,; partially_closed,RAND.AS
32.0,323.0,325.0,32.5,31.290000915527344,,43.100820396423345,-38.719970703125,-0.037230741060697126,2025-04-07,2025-04-09,2 days,; stop-loss tightened during volatility spike,RAND.AS
16.0,325.0,326.0,31.520000457763672,33.63999938964844,,,33.91998291015625,0.06725884838502871,2025-04-09,2025-04-10,1 days,; stop-loss tightened during volatility spike; partially_closed,RAND.AS
16.0,325.0,327.0,31.520000457763672,34.06999969482422,,46.738019405364994,40.79998779296875,0.08090098984857264,2025-04-09,2025-04-11,2 days,; stop-loss tightened during volatility spike; partially_closed,RAND.AS
47.0,218.0,223.0,10.5600004196167,13.085000038146973,,,118.67498207092285,0.23910980285945138,2024-11-06,2024-11-13,7 days,; partially_closed,TKWY.AS
47.0,218.0,224.0,10.5600004196167,14.055179603576661,12.232750082015992,14.055179603576661,164.2734216461182,0.3309828641168584,2024-11-06,2024-11-14,8 days,; partially_closed,TKWY.AS
7.0,316.0,323.0,142.36293029785156,134.94513593936614,,184.03606875711546,-51.92456050939796,-0.052104816492368644,2025-03-27,2025-04-07,11 days,,WKL.AS
4.0,323.0,326.0,132.6362762451172,140.05409240722656,,,29.6712646484375,0.055925998317390535,2025-04-07,2025-04-10,3 days,; stop-loss tightened during volatility spike; partially_closed,WKL.AS
3.0,323.0,358.0,132.6362762451172,154.32778604849935,,174.01748593057602,65.07452941014648,0.16354130572314451,2025-04-07,2025-05-29,52 days,; stop-loss tightened during volatility spike; partially_closed,WKL.AS
7.0,374.0,381.0,140.48316955566406,137.80721523032196,,180.94167810384997,-18.73168027739473,-0.019048220038072272,2025-06-20,2025-07-01,11 days,,WKL.AS
7.0,381.0,399.0,137.11119079589844,134.1902323052026,,179.33131911688807,-20.44670943487077,-0.021303574666227787,2025-07-01,2025-07-25,24 days,,WKL.AS
4.0,399.0,402.0,133.09454345703125,136.3673553466797,,,13.09124755859375,0.024590128224941443,2025-07-25,2025-07-30,5 days,; partially_closed,WKL.AS
3.0,399.0,404.0,133.09454345703125,133.83836817739868,,174.37136644228502,2.231474161102284,0.005588694329963673,2025-07-25,2025-08-01,7 days,; partially_closed,WKL.AS
7.0,404.0,407.0,132.0036163330078,129.8375446240102,,172.1812446271456,-15.162501962983242,-0.016409184605467364,2025-08-01,2025-08-06,5 days,; stop-loss tightened during volatility spike,WKL.AS
8.0,407.0,410.0,122.58186340332031,116.30400481916858,,159.23383867753208,-50.22286867321384,-0.051213600526663905,2025-08-06,2025-08-11,5 days,,WKL.AS
8.0,410.0,423.0,115.63951873779297,109.26497333299062,,150.47340330451152,-50.99636323841878,-0.05512428168484795,2025-08-11,2025-08-28,17 days,,WKL.AS
