Ticker,Date,Close,ma_200,atr_14,tr_delta,Distance_to_MA200,is_shooting_star,Bearish_Signal
ADYEN.AS,2025-07-16,1511.4,1505.25,36.91,0.51,0.17,True,True
PHIA.AS,2025-01-22,24.5,24.32,0.44,0.78,0.4,True,True
ACR1.F,2024-10-15,8.0,7.51,0.13,1.06,3.84,True,True
ACR1.F,2024-10-21,8.3,7.54,0.11,0.92,6.65,True,True
ACR1.F,2024-10-24,8.3,7.56,0.09,0.62,7.93,True,True
ACR1.F,2024-11-01,8.25,7.61,0.08,0.77,7.79,True,True
ACR1.F,2024-11-04,8.25,7.62,0.07,0.31,8.86,True,True
ACR1.F,2024-11-07,8.35,7.64,0.07,0.65,10.5,True,True
ACR1.F,2024-12-04,8.6,7.78,0.13,1.38,6.59,True,True
ACR1.F,2024-12-09,9.1,7.79,0.15,1.51,8.92,True,True
ACR1.F,2024-12-11,9.0,7.81,0.14,1.52,8.8,True,True
ACR1.F,2024-12-18,9.25,7.85,0.11,0.61,12.26,True,True
ACR1.F,2024-12-20,9.1,7.86,0.1,0.62,12.83,True,True
ACR1.F,2025-01-07,9.15,7.91,0.08,1.18,15.84,True,True
ACR1.F,2025-01-09,9.2,7.92,0.07,0.68,17.97,True,True
ACR1.F,2025-01-21,9.5,7.97,0.08,1.03,18.67,True,True
ACR1.F,2025-01-31,9.8,8.04,0.1,1.58,18.21,True,True
ACR1.F,2025-02-05,9.7,8.08,0.1,1.05,16.24,True,True
ACR1.F,2025-02-10,9.9,8.1,0.1,0.89,18.64,True,True
ACR1.F,2025-05-06,8.85,8.4,0.17,1.1,2.69,True,True
ACR1.F,2025-05-22,9.35,8.53,0.09,0.37,9.24,True,True
ACR1.F,2025-06-27,8.9,8.75,0.13,1.55,1.1,True,True
ACR1.F,2025-07-09,9.3,8.81,0.11,0.71,4.27,True,True
ACR1.F,2025-07-10,9.3,8.82,0.1,0.48,4.81,True,True
ACR1.F,2025-07-18,9.45,8.86,0.09,1.01,6.83,True,True
ACR1.F,2025-07-22,9.5,8.88,0.08,0.25,8.21,True,True
GZFB.F,2024-10-10,13.75,13.01,0.1,0.51,7.65,True,True
GZFB.F,2024-10-25,14.11,13.07,0.1,0.97,10.08,True,True
GZFB.F,2024-10-31,13.93,13.1,0.12,1.03,7.16,True,True
GZFB.F,2024-11-04,13.84,13.11,0.1,0.81,7.5,True,True
GZFB.F,2024-11-12,13.75,13.16,0.08,0.87,6.96,True,True
GZFB.F,2024-11-14,13.66,13.18,0.07,0.6,6.7,True,True
GZFB.F,2024-11-18,13.75,13.2,0.07,0.6,7.7,True,True
GZFB.F,2024-11-20,13.84,13.22,0.06,0.62,10.59,True,True
GZFB.F,2024-11-21,13.84,13.23,0.06,0.31,10.39,True,True
GZFB.F,2024-11-22,13.84,13.25,0.05,0.32,11.46,True,True
GZFB.F,2024-12-02,13.48,13.3,0.07,1.67,2.45,True,True
GZFB.F,2024-12-04,13.39,13.32,0.07,1.01,0.96,True,True
GZFB.F,2024-12-09,13.66,13.34,0.08,1.0,3.74,True,True
GZFB.F,2024-12-10,13.66,13.35,0.08,1.01,3.94,True,True
GZFB.F,2024-12-12,13.57,13.37,0.08,0.34,2.36,True,True
GZFB.F,2025-01-07,14.02,13.45,0.16,1.5,3.67,True,True
GZFB.F,2025-01-09,14.11,13.47,0.16,0.3,4.15,True,True
GZFB.F,2025-01-10,14.11,13.47,0.15,0.31,4.28,True,True
GZFB.F,2025-01-15,14.11,13.5,0.1,0.65,5.94,True,True
GZFB.F,2025-01-27,13.84,13.55,0.09,0.91,3.15,True,True
GZFB.F,2025-01-28,13.84,13.56,0.09,0.62,3.1,True,True
GZFB.F,2025-01-29,13.84,13.56,0.08,0.31,3.27,True,True
GZFB.F,2025-02-10,14.2,13.62,0.1,1.57,5.65,True,True
GZFB.F,2025-02-12,14.29,13.63,0.08,0.95,7.88,True,True
GZFB.F,2025-02-17,13.93,13.64,0.1,1.29,3.02,True,True
GZFB.F,2025-02-18,13.93,13.64,0.1,1.32,3.01,True,True
GZFB.F,2025-02-19,13.93,13.64,0.1,0.66,3.0,True,True
GZFB.F,2025-03-12,15.38,13.72,0.21,1.41,8.03,True,True
GZFB.F,2025-03-17,15.47,13.74,0.19,0.85,9.21,True,True
GZFB.F,2025-03-20,15.47,13.76,0.12,0.57,13.86,True,True
GZFB.F,2025-03-27,15.92,13.83,0.1,0.57,21.53,True,True
GZFB.F,2025-04-01,16.19,13.89,0.08,0.85,27.33,True,True
GZFB.F,2025-04-22,16.73,14.15,0.36,1.23,7.26,True,True
GZFB.F,2025-05-14,17.5,14.52,0.31,1.3,9.59,True,True
GZFB.F,2025-05-15,17.5,14.54,0.3,0.75,9.93,True,True
GZFB.F,2025-05-22,18.6,14.67,0.18,0.94,21.99,True,True
GZFB.F,2025-05-26,18.8,14.73,0.16,0.94,24.79,True,True
GZFB.F,2025-06-10,19.0,15.01,0.14,0.91,29.42,True,True
GZFB.F,2025-06-13,19.2,15.09,0.13,0.73,32.0,True,True
GZFB.F,2025-06-27,19.6,15.35,0.16,0.7,25.86,True,True
GZFB.F,2025-06-30,19.6,15.38,0.16,0.35,26.87,True,True
GZFB.F,2025-07-03,19.8,15.46,0.14,0.36,30.37,True,True
GZFB.F,2025-07-15,19.5,15.67,0.15,1.0,25.5,True,True
GZFB.F,2025-07-18,19.2,15.75,0.16,0.51,21.94,True,True
GZFB.F,2025-07-28,19.5,15.92,0.16,1.37,22.76,True,True
GZFB.F,2025-08-05,18.9,16.08,0.2,1.51,14.11,True,True
GZFB.F,2025-08-06,18.9,16.1,0.19,1.01,15.07,True,True
GZFB.F,2025-08-07,18.9,16.12,0.18,0.85,15.55,True,True
GZFB.F,2025-08-14,18.5,16.24,0.15,0.84,15.09,True,True
GZFB.F,2025-08-15,18.5,16.26,0.14,0.34,15.69,True,True
GZFB.F,2025-08-20,18.4,16.33,0.14,0.83,14.51,True,True
GZFB.F,2025-08-22,18.7,16.38,0.14,0.99,17.12,True,True
GZFB.F,2025-09-08,17.5,16.59,0.17,0.95,5.29,True,True
GZFB.F,2025-09-10,17.6,16.63,0.16,0.39,6.16,True,True
GZFB.F,2025-09-25,17.9,16.88,0.24,1.59,4.34,True,True
GZFB.F,2025-09-30,18.1,16.94,0.24,0.4,4.91,True,True
GZFB.F,2025-10-01,18.1,16.97,0.24,0.41,4.81,True,True
AIR.F,2025-01-07,155.99,142.8,2.62,1.43,5.04,True,True
AIR.F,2025-07-18,184.86,155.74,3.22,0.84,9.04,True,True
BSN.F,2024-10-29,65.34,58.22,0.8,2.01,8.9,True,True
CAR1.F,2024-10-22,2.58,2.57,0.03,1.1,0.36,True,True
CAR1.F,2025-05-19,2.44,2.41,0.07,0.41,0.34,True,True
CAR1.F,2025-05-22,2.55,2.41,0.03,0.81,5.24,True,True
CAR1.F,2025-05-27,2.49,2.42,0.02,0.41,3.1,True,True
LOR.F,2025-06-05,383.5,353.63,5.88,0.75,5.08,True,True
LOR.F,2025-07-31,388.2,351.71,7.48,1.67,4.88,True,True
MOS.F,2024-10-25,14.72,14.19,0.15,1.81,3.53,True,True
MOS.F,2024-11-04,14.72,14.23,0.19,1.9,2.64,True,True
MOS.F,2024-11-05,14.72,14.24,0.18,0.25,2.66,True,True
MOS.F,2024-11-11,14.82,14.27,0.13,0.43,4.08,True,True
MOS.F,2024-11-18,14.74,14.32,0.11,0.7,3.72,True,True
MOS.F,2024-11-28,14.76,14.37,0.11,2.94,3.42,True,True
MOS.F,2025-02-04,14.78,14.64,0.08,0.74,1.63,True,True
MOS.F,2025-02-06,14.84,14.65,0.08,0.34,2.35,True,True
MOS.F,2025-02-25,15.0,14.71,0.1,0.57,3.05,True,True
MOS.F,2025-02-26,15.0,14.71,0.09,0.35,3.14,True,True
MOS.F,2025-02-27,15.0,14.72,0.09,0.17,3.09,True,True
MOS.F,2025-02-28,15.0,14.72,0.08,0.0,3.32,True,True
MOS.F,2025-03-12,15.0,14.73,0.08,0.52,3.3,True,True
MOS.F,2025-03-13,15.0,14.73,0.08,0.18,3.52,True,True
MOS.F,2025-03-14,15.0,14.73,0.07,0.06,3.72,True,True
MOS.F,2025-03-17,15.0,14.73,0.07,0.0,3.95,True,True
MOS.F,2025-03-24,15.06,14.74,0.08,0.45,4.02,True,True
MOS.F,2025-03-27,15.1,14.74,0.04,0.71,8.31,True,True
MOS.F,2025-04-17,15.05,14.76,0.24,0.97,1.21,True,True
MOS.F,2025-04-25,15.05,14.77,0.21,0.86,1.32,True,True
MOS.F,2025-04-30,15.0,14.78,0.19,0.44,1.2,True,True
MOS.F,2025-05-07,15.0,14.79,0.07,0.59,3.0,True,True
MOS.F,2025-06-12,16.4,14.94,0.16,1.46,9.32,True,True
MOS.F,2025-07-11,17.15,15.15,0.19,0.61,10.75,True,True
MOS.F,2025-07-14,17.15,15.17,0.17,0.37,11.57,True,True
MOS.F,2025-07-15,17.15,15.18,0.15,0.12,13.47,True,True
MOS.F,2025-07-16,17.15,15.19,0.13,0.0,15.25,True,True
MOS.F,2025-07-17,17.15,15.2,0.13,0.0,15.59,True,True
MOS.F,2025-07-29,17.95,15.32,0.12,1.42,21.7,True,True
MOS.F,2025-08-05,17.9,15.4,0.13,0.48,19.45,True,True
MOS.F,2025-08-06,17.9,15.42,0.13,0.24,19.31,True,True
MOS.F,2025-08-07,17.9,15.43,0.13,0.12,19.18,True,True
MOS.F,2025-08-08,17.9,15.45,0.12,0.0,20.18,True,True
MOS.F,2025-08-22,18.05,15.63,0.15,1.72,16.13,True,True
MOS.F,2025-09-23,18.5,16.04,0.17,0.65,14.36,True,True
BAS.DE,2024-10-24,43.7,43.18,0.84,0.6,0.62,True,True
VACE.F,2024-11-22,2.9,2.61,0.06,1.32,4.65,True,True
VACE.F,2024-11-25,2.9,2.61,0.06,0.53,4.7,True,True
VACE.F,2024-12-02,2.88,2.63,0.05,1.15,5.15,True,True
VACE.F,2024-12-10,2.95,2.64,0.03,0.86,10.37,True,True
VACE.F,2024-12-19,2.91,2.66,0.05,2.03,5.06,True,True
VACE.F,2024-12-30,2.84,2.66,0.05,0.85,3.65,True,True
VACE.F,2025-02-19,3.38,2.71,0.07,2.25,9.37,True,True
VACE.F,2025-03-14,2.95,2.73,0.07,1.14,3.32,True,True
VACE.F,2025-03-24,3.15,2.74,0.06,0.67,6.77,True,True
VACE.F,2025-04-22,2.79,2.76,0.12,0.7,0.23,True,True
VACE.F,2025-05-08,2.84,2.78,0.05,1.07,1.41,True,True
VACE.F,2025-05-20,3.0,2.79,0.04,0.5,4.8,True,True
VACE.F,2025-05-27,3.06,2.81,0.07,2.85,3.6,True,True
VACE.F,2025-06-10,3.06,2.85,0.08,0.41,2.73,True,True
VACE.F,2025-06-23,3.06,2.87,0.04,0.62,4.48,True,True
VACE.F,2025-07-02,3.1,2.9,0.04,0.75,5.03,True,True
VACE.F,2025-07-07,3.2,2.91,0.05,1.17,6.31,True,True
VACE.F,2025-07-11,3.32,2.93,0.04,0.66,8.83,True,True
VACE.F,2025-07-14,3.32,2.93,0.04,0.55,8.72,True,True
VACE.F,2025-07-18,3.2,2.95,0.04,0.68,6.18,True,True
VACE.F,2025-07-21,3.2,2.96,0.04,0.57,6.29,True,True
VACE.F,2025-08-05,3.14,3.0,0.04,0.96,3.17,True,True
VACE.F,2025-08-07,3.18,3.01,0.04,0.6,4.36,True,True
VACE.F,2025-08-15,3.12,3.03,0.03,0.85,2.64,True,True
VACE.F,2025-08-19,3.1,3.04,0.03,0.49,2.03,True,True
VACE.F,2025-08-20,3.1,3.04,0.03,0.12,2.05,True,True
VACE.F,2025-08-21,3.1,3.04,0.03,0.12,2.07,True,True
VACE.F,2025-08-22,3.1,3.05,0.02,0.0,2.49,True,True
TH1.F,2025-07-07,4.32,4.11,0.09,0.8,2.23,True,True
TH1.F,2025-07-17,4.26,4.14,0.09,0.62,1.36,True,True
TH1.F,2025-07-21,4.24,4.13,0.09,0.31,1.26,True,True
TH1.F,2025-07-28,4.44,4.11,0.1,1.14,3.35,True,True
TH1.F,2025-07-30,4.42,4.1,0.08,0.41,4.05,True,True
ADS.DE,2025-01-20,240.19,223.35,4.86,0.68,3.46,True,True
ADS.DE,2025-01-21,240.19,223.54,4.5,0.32,3.7,True,True
DB1.DE,2025-01-20,225.82,197.82,2.79,0.79,10.05,True,True
DB1.DE,2025-01-21,225.82,198.04,2.54,0.35,10.93,True,True
DB1.DE,2025-05-27,288.8,231.83,4.71,0.85,12.1,True,True
CON.DE,2025-01-21,64.93,57.78,1.42,0.44,5.02,True,True
HEI.DE,2025-01-20,123.57,100.34,2.54,1.07,9.14,True,True
HEI.DE,2025-01-21,123.57,100.49,2.43,0.41,9.5,True,True
RWE.DE,2025-08-13,35.47,31.6,0.63,0.99,6.16,True,True
VNA.DE,2025-05-28,28.32,28.28,0.6,0.87,0.06,True,True
VNA.DE,2025-06-06,29.23,28.31,0.58,0.59,1.59,True,True
VNA.DE,2025-06-09,29.23,28.32,0.53,0.26,1.72,True,True
VNA.DE,2025-06-30,29.91,28.24,0.64,0.92,2.6,True,True
