Date,Open,High,Low,Close,Volume
2024-01-02,15143.877998716865,14913.970939990471,14216.252996551239,14424.1689453125,45464
2024-01-03,14713.051620769807,14794.018886296159,14152.278337309528,14645.0791015625,51959
2024-01-04,14762.032121178057,14788.021614349145,14244.241449538686,14450.158203125,37592
2024-01-05,14604.09684949242,14633.584930057788,14394.181699705056,14573.109375,52198
2024-01-08,14741.041452614396,14827.006704185891,14456.156607290255,14759.0341796875,43156
2024-01-09,14759.03316975124,14929.964065249205,14661.072773500944,14771.0283203125,40176
2024-01-10,14595.100652998446,14710.054188721673,14444.161662614037,14600.0986328125,84450
2024-01-11,14573.10873519243,14744.039635371999,14486.143891241423,14569.1103515625,79992
2024-01-12,14671.069883428823,14687.063418765394,14493.141802809465,14508.1357421875,72416
2024-01-15,14518.13085910497,14519.130455005487,14414.17288545123,14460.154296875,46620
2024-01-16,14420.170427557601,14569.110216390685,14419.170831659392,14501.1376953125,23784
2024-01-17,14399.179592013585,14489.143227090379,14194.262423227554,14261.2353515625,102339
2024-01-18,14563.112708851526,14649.077956497984,14200.259396111249,14593.1005859375,34925
2024-01-19,14814.01080572481,15007.932404666148,14595.099310012683,14703.0556640625,52345
2024-01-22,14877.98504748434,15008.932107496465,14692.060214184685,14841.0,39195
2024-01-23,14802.016262471141,15153.8740234375,14870.988380387842,15153.8740234375,31281
2024-01-24,15166.869137937214,16389.37496774656,15166.869137937214,16343.3935546875,77002
2024-01-25,16393.372438178805,16393.372438178805,15869.584196861386,16290.4140625,99587
2024-01-26,16147.472012063565,16275.42028602321,15749.632847720288,15853.5908203125,43394
2024-01-29,16152.470373469154,16193.45380594098,15290.818695646863,15344.796875,56270
2024-01-30,15193.857592445296,15937.556937759724,15108.891941434911,15394.7763671875,154349
2024-01-31,15499.734039507515,15839.596645816851,15499.734039507515,15793.615234375,418675
2024-02-01,15893.575033356394,15821.60412754497,15101.895069430717,15170.8671875,70098
2024-02-02,15135.881098119475,15749.63297992144,15043.91827543905,15602.6923828125,100816
2024-02-05,15693.655880659055,15930.560112742889,15543.716493264223,15593.6962890625,110312
2024-02-06,15196.85671042418,15624.683762457431,15196.85671042418,15593.6962890625,154804
2024-02-07,15592.696356152188,15593.69595204655,15443.756567892255,15568.7060546875,107519
2024-02-08,15569.705987079327,15690.657092911159,15493.736697465945,15593.6962890625,53220
2024-02-09,15518.726327508013,15693.655609782661,15518.726327508013,15631.6806640625,38011
2024-02-12,15787.61755555277,15787.61755555277,15494.735958504716,15568.7060546875,73198
2024-02-13,15494.736293381911,15853.591227213541,15494.736293381911,15593.6962890625,211974
2024-02-14,15682.660257132244,15837.597623430636,15579.701878237182,15704.6513671875,584992
2024-02-15,15694.65547657502,15699.653456154847,15185.861155348557,15593.6962890625,331295
2024-02-16,15469.745986021813,15572.70436264111,15003.934301511206,15041.9189453125,70264
2024-02-19,15003.93503387227,15413.769368574978,15003.93503387227,15241.8388671875,62062
2024-02-20,15247.836079673229,15248.835675587721,14444.160964421013,14446.16015625,63974
2024-02-21,14516.132222473205,15052.915241579947,14390.183134191177,15038.9208984375,89620
2024-02-22,14761.032632226563,15335.800273828125,14705.055261914062,14993.9384765625,49174
2024-02-23,14992.938544057522,15038.91995435332,14931.963195621793,14997.9365234375,54317
2024-02-26,14793.020032822898,15185.861229721297,14616.091554830491,15018.9287109375,50578
2024-02-27,14771.02935231503,15036.921875,14677.067333020343,15036.921875,62393
2024-02-28,15035.921812506384,15035.921812506384,14518.131126501974,14683.064453125,33324
2024-02-29,15037.920313884817,15037.920313884817,14640.081156418308,14662.072265625,90279
2024-03-01,14507.135236584607,14570.10977802365,14228.247981640274,14455.15625,19740
2024-03-04,14612.093074852197,15008.932652818836,14488.143181482264,14794.01953125,43445
2024-03-05,14550.11812816723,15008.932652818836,14550.11812816723,14794.01953125,63165
