Date,Open,High,Low,Close,Volume
2024-01-02,388.0,388.0,375.0,385.0,43536
2024-01-03,388.0,388.0,377.0,382.0,19458
2024-01-04,376.0,384.0,376.0,383.0,61676
2024-01-05,388.0,388.0,365.0,368.0,86492
2024-01-08,384.0,384.0,367.0,372.0,86364
2024-01-09,382.0,382.0,371.0,373.0,49234
2024-01-10,370.0,380.0,370.0,376.0,92011
2024-01-11,374.0,382.0,370.0,374.0,149013
2024-01-12,382.0,382.0,369.0,375.0,49451
2024-01-15,380.0,380.0,376.0,380.0,143707
2024-01-16,378.0,383.0,376.0,380.0,319169
2024-01-17,382.0,382.0,372.0,379.0,44851
2024-01-18,381.0,381.0,374.0,378.0,1945
2024-01-19,379.0,381.0,361.0,363.0,302283
2024-01-22,364.0,375.0,361.0,362.0,277863
2024-01-23,363.0,372.0,361.0,370.0,68765
2024-01-24,362.0,376.0,361.0,362.0,54314
2024-01-25,361.0,369.0,346.0,358.0,332097
2024-01-26,362.0,366.0,348.0,358.0,28643
2024-01-29,358.0,367.0,337.0,340.0,448056
2024-01-30,354.0,354.0,333.0,351.0,382892
2024-01-31,350.0,355.0,344.0,350.0,129281
2024-02-01,355.0,359.0,347.0,358.0,105911
2024-02-02,358.0,357.0,343.0,350.0,18257
2024-02-05,353.0,357.0,347.0,357.0,83065
2024-02-06,358.0,361.0,349.0,358.0,142276
2024-02-07,361.0,361.0,341.0,341.0,282713
2024-02-08,350.0,356.0,346.0,346.0,110547
2024-02-09,350.0,353.0,339.0,348.0,118298
2024-02-12,350.0,350.0,341.0,347.0,29490
2024-02-13,350.0,350.0,330.0,338.0,177663
2024-02-14,342.0,345.0,330.0,345.0,308179
2024-02-15,341.0,362.0,340.0,355.0,922270
2024-02-16,359.0,362.0,350.0,355.0,512963
2024-02-19,359.0,359.0,354.0,355.0,721405
2024-02-20,361.0,361.0,343.0,343.0,56387
2024-02-21,350.0,350.0,342.0,347.0,71752
2024-02-22,343.0,347.0,320.0,338.0,415875
2024-02-23,333.0,345.0,327.0,333.0,746648
