Date,Open,High,Low,Close,Volume
2024-11-28,6301.0,6488.0,6150.0,6351.0,15486720
2024-11-29,6470.0,6700.0,6435.0,6700.0,6332464
2024-12-02,6730.0,6920.0,6623.0,6623.0,1773603
2024-12-03,6649.0,6698.0,6450.0,6450.0,1057094
2024-12-04,6450.0,6600.0,6450.0,6580.0,1768538
2024-12-05,6750.0,6750.0,6501.0,6600.0,1172521
2024-12-06,6700.0,6700.0,6356.0,6409.0,481983
2024-12-09,6420.0,6550.0,6410.0,6425.0,740910
2024-12-10,6435.0,6498.0,6435.0,6477.0,811064
2024-12-11,6480.0,6500.0,6432.0,6432.0,635096
2024-12-12,6432.0,6496.0,6432.0,6485.0,789768
2024-12-13,6485.0,6500.0,6450.0,6485.0,444761
2024-12-17,6526.0,6550.0,6450.0,6467.0,367122
2024-12-18,6450.0,6520.0,6421.0,6450.0,715471
2024-12-19,6500.0,6500.0,6350.0,6390.0,966974
2024-12-20,6390.0,6473.0,6320.0,6400.0,706780
2024-12-23,6400.0,6481.0,6350.0,6400.0,519807
2024-12-24,6400.0,6482.0,6385.0,6433.0,73739
2024-12-27,6404.0,6439.0,6350.0,6391.0,118504
2024-12-30,6404.0,6485.0,6353.0,6397.0,44228
2024-12-31,6479.0,6479.0,6361.0,6440.0,84865
2025-01-02,6450.0,6485.0,6350.0,6360.0,198259
2025-01-03,6449.0,6449.0,6350.0,6350.0,217255
2025-01-06,6418.0,6485.0,6350.0,6350.0,466915
2025-01-07,6449.0,6600.0,6380.0,6600.0,1958077
2025-01-08,6636.0,6880.0,6601.0,6754.0,1533845
2025-01-09,6872.0,6872.0,6650.0,6700.0,346402
2025-01-10,6690.0,6943.0,6690.0,6905.0,905224
2025-01-13,6880.0,6925.0,6701.0,6800.0,2287389
2025-01-14,6950.0,6973.0,6814.0,6827.0,685315
2025-01-15,6950.0,6950.0,6766.0,6811.0,465440
2025-01-16,6774.0,6899.0,6755.0,6824.0,347397
2025-01-17,6830.0,6920.0,6801.0,6874.0,403224
2025-01-20,6899.0,6915.0,6639.0,6700.0,476126
2025-01-21,6700.0,6888.0,6689.0,6765.0,437014
2025-01-22,6747.0,6750.0,6621.0,6720.0,375924
2025-01-23,6626.0,6756.0,6612.0,6613.0,585182
2025-01-24,6604.0,6745.0,6577.0,6620.0,439160
2025-01-27,6620.0,6620.0,6402.0,6480.0,875249
2025-01-28,6600.0,6679.0,6450.0,6679.0,725963
2025-01-29,6679.0,6720.0,6508.0,6630.0,345129
2025-01-30,6631.0,6699.0,6570.0,6676.0,329792
2025-01-31,6511.0,6689.0,6400.0,6400.0,633199
2025-02-03,6400.0,6400.0,6300.0,6327.0,657267
2025-02-04,6300.0,6505.0,6200.0,6440.0,1363090
2025-02-05,6416.0,6572.0,6387.0,6420.0,694034
2025-02-06,6499.0,6499.0,6286.0,6313.0,1372097
2025-02-07,6307.0,6573.0,6307.0,6513.0,423850
2025-02-10,6500.0,6569.0,6440.0,6502.0,661078
2025-02-11,6502.0,6535.0,6444.0,6520.0,332101
2025-02-12,6540.0,6853.0,6540.0,6839.0,928052
2025-02-13,6840.0,6975.0,6750.0,6773.0,622382
2025-02-14,6758.0,6899.0,6632.0,6661.0,231145
2025-02-17,6700.0,6817.0,6560.0,6560.0,283655
2025-02-18,6600.0,6610.0,6500.0,6610.0,355043
2025-02-19,6667.0,6667.0,6512.0,6550.0,568132
2025-02-20,6555.0,6655.0,6451.0,6578.0,627683
2025-02-21,6650.0,6687.0,6529.0,6687.0,642314
2025-02-24,6699.0,6776.0,6551.0,6649.0,473125
2025-02-25,6700.0,6799.0,6556.0,6719.0,703081
2025-02-26,6719.0,6765.0,6561.0,6702.0,319199
2025-02-27,6799.0,6799.0,6614.0,6705.0,434204
2025-02-28,6750.0,6750.0,6600.0,6696.0,4555907
2025-03-03,6690.0,6749.0,6648.0,6675.0,547773
2025-03-04,6650.0,6698.0,6451.0,6588.0,633209
2025-03-05,6564.0,6700.0,6502.0,6670.0,628801
2025-03-06,6671.0,6775.0,6546.0,6750.0,839500
2025-03-07,6750.0,6927.0,6663.0,6927.0,1331918
