Date,Open,High,Low,Close,Volume
2024-01-02,19943.619662669727,20560.185793311543,19814.91896549692,19838.86328125,271621
2024-01-03,19754.06157726378,19929.653235728347,19276.17291587442,19512.623046875,234170
2024-01-04,20222.970358230923,19793.968027000567,19312.08866424647,19361.97265625,153528
2024-01-05,19426.82169126996,19630.348377024846,19181.392452565546,19616.380859375,147847
2024-01-08,19554.52398441901,19615.382451921538,19238.259489364886,19481.693359375,198503
2024-01-09,19803.944562328532,19991.508369770232,19526.58957047325,19637.33203125,353606
2024-01-10,20163.10873099609,20163.10873099609,19344.013616293083,19842.853515625,357592
2024-01-11,19325.057868230837,20248.909369830308,19584.454618139975,19901.716796875,270280
2024-01-12,19853.828937975886,19922.66884735882,19521.601549214785,19654.29296875,619337
2024-01-15,19420.334747413388,19571.483226221182,19230.276759209526,19387.91015625,555740
2024-01-16,19155.45169923093,19411.855401663342,19021.76260924671,19199.349609375,341562
2024-01-17,19514.616804333582,19514.616804333582,18377.261837209848,18653.619140625,667842
2024-01-18,18913.01534677854,19238.25895088519,18756.3796233284,18875.103515625,563222
2024-01-19,19484.684876717944,19548.536378618097,18593.756889267403,19164.4296875,381574
2024-01-22,18757.377853855454,19504.64002142834,18638.65395807285,18950.927734375,348944
2024-01-23,19180.39218903588,19357.979175233453,18993.82608555865,19030.740234375,505536
2024-01-24,18955.916530402134,19562.505859375,19059.67523141065,19562.505859375,708751
2024-01-25,19332.040593358404,19616.37932324988,18556.84342449638,18869.1171875,417783
2024-01-26,18631.6681640625,19026.7493203125,18081.946656250002,18955.9140625,815749
2024-01-29,18806.263496529256,19040.71824038519,18564.824994345698,18747.400390625,298793
2024-01-30,18645.637652766047,18965.892866342903,18259.535572846282,18457.076171875,354122
2024-01-31,18766.358209820715,18788.307166791266,18336.358189170383,18683.55078125,536460
2024-02-01,18386.242940478212,18750.396105233463,18166.75336172162,18733.435546875,279470
2024-02-02,18511.948271783534,19245.242908256772,18257.53992851731,18270.509765625,738837
2024-02-05,18258.53782125665,18542.87656116475,18055.0111442698,18095.916015625,345065
2024-02-06,18153.781029198908,18281.484039296593,17873.433014843835,18179.720703125,228636
