Date,Open,High,Low,Close,Volume
2024-01-02,262.0,263.0,252.0,252.0,4767030
2024-01-03,260.0,261.0,250.0,258.0,1679643
2024-01-04,256.0,262.0,254.0,262.0,1113638
2024-01-05,257.0,262.0,257.0,260.0,1486858
2024-01-08,256.0,261.0,243.0,243.0,792394
2024-01-09,244.0,244.0,238.0,243.0,789605
2024-01-10,240.0,244.0,240.0,243.0,1150800
2024-01-11,243.0,246.0,242.0,246.0,1531409
2024-01-12,237.0,254.0,237.0,254.0,3262425
2024-01-15,251.0,253.0,249.0,252.0,1279188
2024-01-16,251.0,251.0,245.0,245.0,1470994
2024-01-17,248.0,248.0,243.0,245.0,2379893
2024-01-18,249.0,250.0,245.0,247.0,1579115
2024-01-19,242.0,248.0,242.0,245.0,1883211
2024-01-22,242.0,246.0,231.0,231.0,2135879
2024-01-23,238.0,238.0,225.0,232.0,560555
2024-01-24,231.0,235.0,230.0,231.0,611057
2024-01-25,231.0,231.0,225.0,225.0,419571
2024-01-26,226.0,228.0,218.0,223.0,1821701
2024-01-29,225.0,231.0,214.0,225.0,1612861
2024-01-30,229.0,231.0,221.0,224.0,800001
2024-01-31,222.0,226.0,220.0,223.0,934095
2024-02-01,225.0,231.0,223.0,231.0,5816258
2024-02-02,230.0,231.0,222.0,230.0,3311237
2024-02-05,224.0,230.0,220.0,220.0,1028307
2024-02-06,224.0,225.0,216.0,218.0,1240390
2024-02-07,218.0,222.0,212.0,222.0,11825363
2024-02-08,222.0,222.0,217.0,220.0,2942885
2024-02-09,219.0,220.0,213.0,220.0,1496288
2024-02-12,222.0,222.0,203.0,216.0,3484008
2024-02-13,223.0,227.0,220.0,225.0,6246665
2024-02-14,229.0,237.0,226.0,230.0,4023085
2024-02-15,230.0,238.0,228.0,230.0,4151351
2024-02-16,226.0,235.0,226.0,231.0,2532277
2024-02-19,231.0,232.0,226.0,232.0,1075701
2024-02-20,228.0,234.0,225.0,228.0,1270515
2024-02-21,234.0,234.0,224.0,227.0,233027
2024-02-22,234.0,236.0,226.0,230.0,1299178
2024-02-23,228.0,233.0,226.0,230.0,321425
2024-02-26,226.0,228.0,218.0,218.0,2000366
2024-02-27,227.0,227.0,210.0,219.0,3635465
2024-02-28,218.0,227.0,215.0,227.0,2253591
2024-02-29,225.0,231.0,221.0,230.0,5595245
2024-03-01,233.0,258.0,230.0,257.0,4560044
2024-03-04,260.0,262.0,251.0,253.0,1990880
2024-03-05,254.0,258.0,251.0,258.0,625078
2024-03-06,260.0,263.0,253.0,263.0,2167194
2024-03-07,263.0,269.0,260.0,266.0,964977
2024-03-08,268.0,268.0,259.0,265.0,2488195
2024-03-11,263.0,268.0,263.0,265.0,1583713
2024-03-12,268.0,268.0,262.0,264.0,5471586
2024-03-13,264.0,268.0,263.0,266.0,4812033
2024-03-14,264.0,264.0,253.0,255.0,5519732
2024-03-15,255.0,262.0,252.0,258.0,9803930
2024-03-18,253.0,256.0,242.0,243.0,4325260
2024-03-19,243.0,252.0,243.0,252.0,559363
2024-03-20,249.0,255.0,248.0,255.0,960411
2024-03-22,253.0,265.0,255.0,265.0,1337940
2024-03-25,265.0,268.0,255.0,256.0,1865154
2024-03-26,257.0,260.0,250.0,255.0,4782356
2024-03-27,255.0,260.0,254.0,258.0,2263898
2024-03-28,258.0,260.0,254.0,260.0,2708752
2024-04-02,258.0,270.0,258.0,270.0,4045700
2024-04-03,270.0,272.0,264.0,265.0,2601006
2024-04-04,265.0,270.0,265.0,269.0,2015303
2024-04-05,267.0,269.0,262.0,267.0,600832
2024-04-08,267.0,275.0,261.0,274.0,12379371
2024-04-09,274.0,278.0,270.0,277.0,2264345
