Date,Open,High,Low,Close,Volume
2024-01-02,16800.0,16956.0,16521.0,16521.0,1288
2024-01-03,16800.0,16800.0,16500.0,16500.0,8781
2024-01-04,16500.0,16959.0,16000.0,16959.0,3652
2024-01-05,16541.0,16541.0,15202.0,15202.0,2771
2024-01-08,15933.0,15938.0,14824.0,15175.0,8650
2024-01-09,15101.0,15500.0,15100.0,15500.0,2010
2024-01-10,15571.0,15571.0,15000.0,15502.0,185
2024-01-11,15499.0,15499.0,14750.0,15476.0,3255
2024-01-12,15475.0,15475.0,14750.0,14750.0,367
2024-01-15,15267.0,15356.0,14701.0,15356.0,3015
2024-01-16,15400.0,15400.0,14700.0,15089.0,773
2024-01-17,15349.0,15349.0,15089.0,15200.0,193
2024-01-18,14550.0,15000.0,14253.0,14700.0,5363
2024-01-19,14444.0,14645.0,14003.0,14499.0,2011
2024-01-22,14299.0,14352.0,13800.0,14300.0,6419
2024-01-23,14700.0,14700.0,14034.0,14515.0,19136
2024-01-24,14999.0,14999.0,14001.0,14001.0,8608
2024-01-25,14001.0,14400.0,14001.0,14399.0,130
2024-01-26,13680.0,14849.0,13680.0,14849.0,4945
2024-01-29,13900.0,14028.0,13927.0,13926.0,536
2024-01-30,13802.0,14492.0,13800.0,14492.0,6013
2024-01-31,13901.0,14157.0,13587.0,13587.0,3725
2024-02-01,13587.0,13677.0,12726.0,12726.0,4162
2024-02-02,13300.0,13595.0,13300.0,13595.0,7116
2024-02-05,12813.0,13297.0,12234.0,13100.0,3906
2024-02-06,12594.0,12463.0,12001.0,12001.0,1186
2024-02-07,12400.0,12400.0,12003.0,12200.0,2926
2024-02-08,12200.0,12200.0,12000.0,12100.0,4023
2024-02-09,11803.0,12601.0,11803.0,12601.0,227
2024-02-12,12550.0,12550.0,12249.0,12500.0,13886
2024-02-13,12254.0,12300.0,12001.0,12300.0,9475
2024-02-14,11797.0,12074.0,11122.0,11980.0,6292
2024-02-15,11980.0,12100.0,11900.0,12000.0,19091
2024-02-16,11904.0,12499.0,11904.0,12499.0,599
2024-02-19,12499.0,12499.0,12393.0,12486.0,213
2024-02-20,11862.0,12495.0,11800.0,11900.0,410
2024-02-21,11900.0,12000.0,11500.0,11850.0,6126
2024-02-22,11800.0,12000.0,11800.0,11850.0,18498
2024-02-23,11835.0,11835.0,11200.0,11749.0,1933
2024-02-26,11500.0,11502.0,11500.0,11500.0,5325
2024-02-27,11500.0,11550.0,10975.0,11550.0,17283
2024-02-28,11491.0,11491.0,10501.0,11000.0,2936
