Date,Open,High,Low,Close,Volume
2024-01-02,1739.0,1739.0,1681.0,1725.0,229775
2024-01-03,1722.0,1731.0,1707.0,1726.0,595859
2024-01-04,1752.0,1758.0,1731.0,1750.0,294546
2024-01-05,1681.0,1798.0,1652.0,1748.0,1105242
2024-01-08,1745.0,1748.0,1672.0,1680.0,427896
2024-01-09,1628.0,1727.0,1628.0,1696.0,511024
2024-01-10,1699.0,1728.0,1660.0,1663.0,298085
2024-01-11,1651.0,1686.0,1629.0,1651.0,913814
2024-01-12,1688.0,1690.0,1660.0,1675.0,169072
2024-01-15,1685.0,1685.0,1654.0,1667.0,1029793
2024-01-16,1697.0,1697.0,1655.0,1675.0,248075
2024-01-17,1683.0,1700.0,1659.0,1695.0,356381
2024-01-18,1699.0,1704.0,1688.0,1695.0,1445960
2024-01-19,1702.0,1730.0,1702.0,1723.0,1352906
2024-01-22,1702.0,1770.0,1702.0,1754.0,599207
2024-01-23,1765.0,1792.0,1748.0,1753.0,670712
2024-01-24,1756.0,1767.0,1738.0,1759.0,1095423
2024-01-25,1755.0,1782.0,1735.0,1779.0,418716
2024-01-26,1781.0,1829.0,1782.0,1815.0,413280
2024-01-29,1829.0,1921.0,1807.0,1865.0,5647167
2024-01-30,1835.0,1900.0,1835.0,1863.0,4176488
2024-01-31,1894.0,1894.0,1840.0,1860.0,358975
2024-02-01,1839.0,1864.0,1801.0,1850.0,2068596
2024-02-02,1800.0,1880.0,1800.0,1849.0,737797
2024-02-05,1863.0,1882.0,1824.0,1861.0,1097104
2024-02-06,1897.0,1897.0,1845.0,1865.0,645668
2024-02-07,1865.0,1865.0,1827.0,1827.0,3585268
2024-02-08,1860.0,1841.0,1750.0,1778.0,757326
2024-02-09,1770.0,1815.5,1751.0,1800.0,550963
2024-02-12,1855.0,1801.0,1759.0,1770.0,1036386
2024-02-13,1800.0,1793.0,1762.0,1770.0,5714839
2024-02-14,1800.0,1786.0,1743.0,1769.0,950667
2024-02-15,1750.0,1774.0,1729.0,1755.0,193793
2024-02-16,1754.0,1757.0,1650.0,1697.0,794729
2024-02-19,1770.0,1770.0,1656.0,1656.0,1406777
2024-02-20,1680.0,1689.0,1652.0,1669.0,644070
2024-02-21,1732.0,1749.0,1665.0,1690.0,548295
2024-02-22,1668.0,1737.0,1668.0,1721.0,574307
2024-02-23,1700.0,1745.0,1700.0,1720.0,725666
2024-02-26,1667.0,1735.0,1667.0,1734.0,423182
2024-02-27,1675.0,1755.0,1675.0,1722.0,489805
2024-02-28,1725.0,1725.0,1686.0,1689.0,556523
2024-02-29,1693.0,1746.0,1669.0,1670.0,505570
2024-03-01,1707.0,1707.0,1672.0,1681.0,1109572
2024-03-04,1678.0,1680.0,1546.0,1554.0,2002371
2024-03-05,1559.0,1605.0,1532.0,1585.0,823068
2024-03-06,1550.0,1627.0,1550.0,1602.0,2348562
2024-03-07,1570.0,1614.0,1520.0,1609.0,709603
2024-03-08,1609.0,1617.0,1590.0,1617.0,570414
2024-03-11,1565.0,1623.0,1565.0,1593.0,347847
2024-03-12,1650.0,1679.0,1590.0,1595.0,47278414
