Date,Open,High,Low,Close,Volume
2024-01-02,2365.0,2392.0,2297.0,2329.0,1089909
2024-01-03,2350.0,2329.0,2272.0,2286.0,713960
2024-01-04,2350.0,2309.0,2212.0,2220.0,712763
2024-01-05,2250.0,2250.0,2194.0,2220.0,990231
2024-01-08,2250.0,2282.0,2186.0,2270.0,1071579
2024-01-09,2298.0,2294.0,2234.0,2244.0,697094
2024-01-10,2251.0,2247.0,2186.0,2186.0,1963555
2024-01-11,2200.0,2236.0,2124.0,2124.0,3861936
2024-01-12,2224.0,2271.0,2083.0,2105.0,3677071
2024-01-15,2147.0,2175.0,2140.0,2167.0,1495585
2024-01-16,2200.0,2276.0,2167.0,2243.0,3041028
2024-01-17,2280.0,2254.0,2185.0,2236.0,1665973
2024-01-18,2273.0,2317.0,2211.0,2211.0,1889592
2024-01-19,2214.0,2310.0,2209.0,2238.0,666707
2024-01-22,2270.0,2344.0,2230.0,2333.0,2186964
2024-01-23,2350.0,2418.0,2279.0,2338.0,3670563
2024-01-24,2387.0,2410.0,2339.0,2369.0,1708104
2024-01-25,2400.0,2467.0,2378.0,2457.0,3760211
2024-01-26,2450.0,2450.0,2355.0,2390.0,1654817
2024-01-29,2400.0,2400.0,2322.0,2329.0,1380876
2024-01-30,2340.0,2383.0,2334.0,2362.0,3249715
2024-01-31,2363.0,2394.0,2314.0,2340.0,1791332
2024-02-01,2390.0,2355.0,2310.0,2322.0,3092057
2024-02-02,2378.0,2402.0,2330.0,2377.0,8225470
2024-02-05,2335.0,2425.0,2325.0,2425.0,1990823
2024-02-06,2439.0,2474.0,2400.0,2474.0,1462186
2024-02-07,2490.0,2562.0,2474.0,2562.0,2226766
2024-02-08,2562.0,2561.0,2519.0,2540.0,2501761
2024-02-09,2550.0,2643.0,2521.0,2609.0,2934396
2024-02-12,2600.0,2661.0,2552.0,2605.0,7522071
2024-02-13,2556.0,2598.5,2562.0,2575.0,1948163
2024-02-14,2600.0,2586.0,2510.0,2540.0,1723910
2024-02-15,2516.0,2598.0,2551.0,2589.0,909166
2024-02-16,2643.0,2717.0,2601.0,2717.0,2793743
2024-02-19,2725.0,2777.0,2688.0,2701.0,1910614
2024-02-20,2743.0,2743.0,2617.0,2670.0,1854521
2024-02-21,2675.0,2725.0,2544.0,2585.0,2394031
2024-02-22,2672.0,2635.0,2133.0,2171.0,17502291
2024-02-23,2250.0,2357.0,2221.0,2325.0,9709004
2024-02-26,2315.0,2363.0,2271.0,2289.0,2357365
2024-02-27,2305.0,2297.0,2183.0,2190.0,3971100
2024-02-28,2190.0,2187.0,2036.0,2061.0,7442882
2024-02-29,2087.0,2100.0,2018.0,2024.0,2984172
2024-03-01,2020.0,2027.0,1958.0,1990.0,2848095
2024-03-04,2000.0,2059.0,1987.0,1995.0,1727231
2024-03-05,2000.0,2015.0,1930.0,1947.0,2303170
2024-03-06,1947.0,1971.0,1880.0,1915.0,3810316
2024-03-07,1900.0,1920.0,1841.0,1860.0,2942705
