Date,Open,High,Low,Close,Volume
2024-01-02,55499.92823671797,55755.927905701756,54160.92996808796,54377.9296875,542486
2024-01-03,54549.92710419855,56199.9248992843,54942.92657902806,55539.92578125,826559
2024-01-04,55979.926235852196,56478.92557832612,55169.927303179094,56324.92578125,1418143
2024-01-05,55382.92645451724,56171.925406769995,55320.92653684973,55889.92578125,668671
2024-01-08,55264.925938044515,55409.925743726526,54470.92700210301,55381.92578125,495524
2024-01-09,55324.92859693351,55243.92870147302,54008.93029537789,54479.9296875,1094897
2024-01-10,54299.92957336475,54848.92886131645,53916.930070112474,54211.9296875,1068571
2024-01-11,55600.92536377792,55839.92504295533,55271.92580541237,55289.92578125,889960
2024-01-12,55124.92587134741,55392.92551095777,54713.92642403451,55191.92578125,480649
2024-01-15,54823.92990867684,55064.92960056344,54693.930074879085,54996.9296875,500601
2024-01-16,54200.92951714791,54542.92907241192,53731.9301270344,54069.9296875,704282
2024-01-17,53199.92979834472,54109.92859752693,52661.930508278754,53283.9296875,1278953
2024-01-18,53859.92976053027,54103.92944232695,53325.93045692606,53915.9296875,705609
2024-01-19,52799.931326304104,54595.928990357934,52799.931326304104,54059.9296875,516749
2024-01-22,52479.93110015684,53612.92961266595,52007.93171983531,53555.9296875,614422
2024-01-23,54799.926937189,55666.92578125,54252.92766648385,55666.92578125,2164499
2024-01-24,55699.92819203795,58110.92508379744,55509.92843698432,57569.92578125,1932440
2024-01-25,58479.9251153813,58838.92465567579,57877.92588625237,57959.92578125,1794707
2024-01-26,56999.92687555097,57900.92571967152,56570.92742590867,57852.92578125,1779107
2024-01-29,57424.92548930561,57796.92500662423,56928.92613288079,57199.92578125,1366362
2024-01-30,56499.92614854661,57253.92516298916,55565.927369383026,56780.92578125,963892
2024-01-31,56438.925304801596,56554.925151279334,55487.92656341947,56078.92578125,1373383
2024-02-01,55025.92768806882,56974.925126807706,55099.92759082237,56476.92578125,1152891
2024-02-02,57359.926090494795,58198.92500942654,57088.9264396837,57599.92578125,1387249
2024-02-05,57619.92535894902,57943.92493923884,56771.926457449736,57293.92578125,1233162
2024-02-06,58754.92256820271,59626.92141901494,58201.92329698807,59280.921875,1412313
2024-02-07,59299.92329653636,60790.921367955176,59396.92317106864,60398.921875,1015877
2024-02-08,59199.92291666666,60321.92145572916,59118.923022135416,59999.921875,912749
2024-02-09,59609.92292108029,60851.92131510783,59610.922919787234,60418.921875,877619
2024-02-12,59999.92274030854,60991.92146294831,60002.92273644556,60671.921875,702552
2024-02-13,60989.92071807404,60891.920845465895,60099.921875,60099.921875,1053961
2024-02-14,60221.92052897284,60466.92020566239,58854.922332913164,59201.921875,2259694
2024-02-15,58499.92261708234,59686.921046936644,58685.92237104435,59060.921875,1109575
2024-02-16,59659.92113472927,59946.92075534053,59060.92192655457,59099.921875,1367823
2024-02-19,58439.92208831058,58863.92152303754,58000.92267358149,58599.921875,614381
2024-02-20,58649.92376655538,58263.924268279334,57017.925887833844,57099.92578125,626997
2024-02-21,57499.926139633346,58029.925458833444,56874.92694246342,57778.92578125,1121675
2024-02-22,56829.92490115443,59335.9215895636,57099.92454435893,59119.921875,611081
2024-02-23,59348.921898687404,59804.92129860655,58467.92305805414,59366.921875,544683
2024-02-26,58899.921698189464,58875.92173009512,58229.922588889174,58766.921875,759897
2024-02-27,57997.925436704274,58189.92518986554,57554.92600623322,57729.92578125,716203
2024-02-28,57497.92453304884,57459.92458292439,56466.925886251156,56546.92578125,392028
2024-02-29,57396.92440224323,57425.92436404725,55772.92654121839,56349.92578125,1149504
2024-03-01,56349.924983828765,56814.92436479559,55507.92610474476,55750.92578125,986612
2024-03-04,55541.928494060696,56106.92776666781,54614.9296875,54614.9296875,544503
2024-03-05,54499.92797610657,54413.928089758956,52899.9300905695,53204.9296875,978976
2024-03-06,54020.92979276991,54569.929079273876,53698.93021125028,54101.9296875,1243306
2024-03-07,52719.93156833244,54236.92959923457,52720.93156703442,54168.9296875,1011959
2024-03-08,54499.92912832902,54499.92912832902,53494.93043522864,54069.9296875,1613646
2024-03-11,54377.92937449203,55146.92837572386,53814.93010570982,54136.9296875,1152044
2024-03-12,55898.92611302037,56430.9254098258,55477.92666949577,56149.92578125,1463998
2024-03-13,56148.92664867911,56921.92563885576,55814.927085006406,56812.92578125,1040343
2024-03-14,56599.92534200775,56764.925124365196,55920.92623763985,56266.92578125,807518
2024-03-15,54534.92787998412,56121.92578125,55163.9270481607,56121.92578125,3317008
2024-03-18,56129.92639755411,57272.92489875497,55849.926764714,56599.92578125,1677093
2024-03-19,55999.92550188206,56165.92528104835,55474.92620030192,55789.92578125,1619625
2024-03-20,56759.92437425948,56942.92413043442,55461.92610368533,55703.92578125,4255082
2024-03-22,56020.92654048421,57077.92515445561,55982.92659031305,56599.92578125,1137561
2024-03-25,56220.92669139754,57143.92548786433,56258.92664184796,56918.92578125,1266865
2024-03-26,57749.922863416825,58599.921728073175,57628.92302503633,58489.921875,1027987
2024-03-27,58719.9221798134,59639.92096055979,58549.922405110265,58949.921875,1418537
2024-03-28,58999.92291886152,60117.921458239274,58752.92324155714,59798.921875,1051468
2024-04-02,59792.92179390727,60230.92122102635,59342.92238248355,59730.921875,1199038
2024-04-03,59170.922818072344,59981.921760213874,59137.92286111714,59893.921875,1168579
2024-04-04,59453.9224799935,60230.92146689017,59453.9224799935,59917.921875,790735
2024-04-05,59135.922240549364,59551.921693540244,58961.92246934645,59413.921875,732370
2024-04-08,58499.923828125,60180.921639322914,59044.92311848958,59999.921875,935325
2024-04-09,59366.92087539664,59994.92003839543,58524.92199761801,58616.921875,1637031
2024-04-10,59999.922501446636,61203.920946309,59788.92277398322,60484.921875,1218058
2024-04-11,60585.92100929125,61308.92006665958,59720.92213705943,59921.921875,1107777
2024-04-12,59920.92097423739,60894.919689694536,59078.922084694364,59237.921875,1649818
2024-04-15,59307.92161728384,59848.92090228672,58964.92207059995,59112.921875,901769
2024-04-16,58599.924467814904,58882.92410304343,57404.92600810434,57580.92578125,1363537
2024-04-17,57580.92606245945,58498.92488369107,57580.92606245945,57799.92578125,964139
2024-04-18,58000.92238218354,58660.92149896155,57813.92263242977,58379.921875,790190
2024-04-19,57499.922910016816,58587.92145134026,57388.923058834,58271.921875,925596
2024-04-22,60373.92261331009,61073.92171605824,60407.922569729286,60949.921875,1295876
2024-04-23,62221.919619709646,63972.917357714075,62299.91951894685,63499.91796875,1789025
2024-04-24,64599.91354322401,65199.912740219894,64211.9140625,64211.9140625,1648422
2024-04-25,63999.91646113454,64007.91645069218,62443.91849217321,62844.91796875,941077
2024-04-26,64149.91735681685,64998.91626306684,63575.91809628976,63674.91796875,634184
2024-04-29,64187.91681797986,63998.91706290729,63092.918237003854,63299.91796875,853069
2024-04-30,63243.91867980665,64198.917451851674,63099.91886496426,63796.91796875,1334397
2024-05-02,64746.91457310602,65661.91336585923,63846.91576056188,65133.9140625,1563562
2024-05-03,65399.91536183814,67275.91293399117,65375.915392898016,66403.9140625,1272821
2024-05-06,66679.91421431031,67394.91329444275,66652.91424904656,66797.9140625,1069183
2024-05-07,66569.91334525857,66869.91295474599,65909.91420438624,66018.9140625,1036621
2024-05-08,66017.9136859596,66114.9135591387,65444.914435118095,65729.9140625,956793
2024-05-09,66319.91518787203,67231.91402157738,66120.91544235956,67199.9140625,682200
2024-05-10,67298.91416453476,67769.91356380511,66940.9146211403,67378.9140625,1138562
2024-05-13,67778.91484272204,68589.91382378472,67362.91536538285,68399.9140625,903689
2024-05-14,68543.91005039193,72157.90530777576,68681.90986929591,71439.90625,1898377
2024-05-15,71049.90684003496,71720.90596022728,70762.90721634615,71499.90625,1089562
2024-05-16,71974.90651626143,72293.90610193266,71199.90752285952,72179.90625,786396
2024-05-17,72179.90353706344,71545.90438435494,70025.90641571632,70149.90625,2005971
2024-05-20,70199.90571275071,70320.90555023281,69720.90635610673,69799.90625,836182
2024-05-21,68499.90719833814,69554.90576905708,68399.90733381503,69199.90625,1273809
2024-05-22,68732.90644600157,69389.9055517444,68406.90688972734,68876.90625,1246271
2024-05-23,69569.90594174527,69926.90545908324,69074.90661098252,69341.90625,803994
2024-05-24,68803.90665699526,69536.90566257018,68447.90713996296,69103.90625,458734
2024-05-27,69103.90632997412,69527.90575524486,68834.90669460189,69162.90625,431602
2024-05-28,69898.91227791357,69742.91247369099,68393.91416666363,68476.9140625,883283
2024-05-30,67957.914517848,68495.91384111534,66608.9162147111,68319.9140625,1180309
2024-05-31,68520.91275356796,68614.91263387962,67049.91462656313,67492.9140625,1214630
2024-06-03,69782.91193867015,69945.91173297541,68099.9140625,68099.9140625,1336370
2024-06-04,68509.90689552076,69391.90569689064,68504.90690231572,68984.90625,857690
2024-06-05,69293.90706409779,70189.90586239824,69149.90725722809,69900.90625,817669
2024-06-06,69681.90713623182,70697.90578222953,69633.90720020044,70346.90625,486794
2024-06-07,69350.90601826756,70314.90471189289,68472.90720809845,69179.90625,899764
2024-06-10,68837.91333227424,68760.91342921801,67557.91494380696,68257.9140625,801004
2024-06-11,68319.91352965434,68759.91297276101,67348.91475861667,67898.9140625,911812
2024-06-12,68019.90800416925,69669.90577257382,67843.90824220609,69316.90625,1204393
2024-06-13,69159.91298041728,69238.91288101666,68186.91420468064,68299.9140625,1344445
2024-06-14,68197.91185095395,68606.91132230267,66347.91424216388,66486.9140625,1089570
2024-06-18,66542.91334496511,67022.91271988934,65818.91428778772,65991.9140625,857968
2024-06-19,66530.91415153435,67176.9133179664,66345.91439024961,66599.9140625,1200652
2024-06-20,66771.91338406995,66912.91320116624,66042.91432972101,66248.9140625,2887966
2024-06-21,65879.9132167985,66321.9126345554,65236.91406381729,65237.9140625,4419419
2024-06-24,66400.91483207807,67999.91278115252,65519.91596207519,67000.9140625,2843221
