Date,Open,High,Low,Close,Volume
2024-01-02,45799.3505916008,46948.33429967393,45799.3505916008,46557.33984375,117087
2024-01-03,46619.33969043917,46619.33969043917,45479.35583700501,45505.35546875,106451
2024-01-04,45839.35253084458,46569.34221992653,45362.35926825268,45631.35546875,102823
2024-01-05,45999.352742204595,45719.35668203465,45011.36664417637,45250.36328125,95227
2024-01-08,44974.36363498264,45223.36011180556,44518.370087065974,44999.36328125,169280
2024-01-09,45199.364059004474,45163.364565506155,44699.37109375,44699.37109375,161800
2024-01-10,44699.368244312784,44931.36496540184,44014.37792558003,44221.375,153387
2024-01-11,44475.374093315244,44708.37081432753,43911.38203043572,44133.37890625,119982
2024-01-12,44417.37184809602,45345.358724475715,43797.38061603201,45299.359375,229200
2024-01-15,45068.362304947914,45097.36189461806,44514.370143663196,44999.36328125,137388
2024-01-16,45500.35484479037,45770.351016480956,44420.37015802802,44905.36328125,113590
2024-01-17,43949.3786036471,45431.35765007725,43950.378589508386,45309.359375,248740
2024-01-18,44799.36641221374,46042.34883298119,44798.366426356326,45849.3515625,392003
2024-01-19,45499.35696680535,46987.3359375,45899.35131376628,46987.3359375,146916
2024-01-22,45949.35160068264,47562.328839679394,45949.35160068264,47059.3359375,169760
2024-01-23,47036.336446756206,47638.32795431296,46838.33923995182,47349.33203125,150240
2024-01-24,45499.35805332122,48301.31852069279,45499.35805332122,48174.3203125,302716
2024-01-25,46799.339984527105,48600.31458521372,46532.34375,46532.34375,131746
2024-01-26,46946.33874510937,47450.33164620071,46299.347858192516,46868.33984375,143972
2024-01-29,46332.34290527917,47316.328950188734,45720.351584664684,45997.34765625,158040
2024-01-30,45904.353165719636,46956.338342287265,45602.35742111562,46295.34765625,176729
2024-01-31,46989.33891522062,47093.33745208342,45862.35477056317,46923.33984375,250455
2024-02-01,47542.32835137128,47566.3280123189,45500.35719907756,46452.34375,134927
2024-02-02,47248.33013380336,47247.33014798073,45043.361394887484,45461.35546875,422613
2024-02-05,45240.361680899885,46364.34582204025,45038.36453097964,46234.34765625,174237
2024-02-06,46295.34503900913,46400.3435535481,45543.355677739586,46110.34765625,95074
2024-02-07,46106.34758549995,46280.34512339825,45417.35733485667,46101.34765625,145703
2024-02-08,45398.36035088755,46599.343429400644,45398.36035088755,46299.34765625,170718
2024-02-09,46296.344643781915,47417.32877548979,46139.34686619214,47187.33203125,173200
2024-02-12,47099.33412791131,47468.32891120641,46365.34450477146,46971.3359375,120901
2024-02-13,47459.327618907235,48148.31785762251,46911.33538259958,47699.32421875,306996
2024-02-14,47238.333544249086,48396.317206990476,47237.333558357255,47899.32421875,273357
2024-02-15,47899.323890493695,48213.3194583771,47303.33230304621,47599.328125,231639
2024-02-16,47487.32912803044,47913.32310984776,47313.331586161396,47558.328125,453094
2024-02-19,46999.33829752604,48519.31689778646,47070.33729793294,47999.32421875,175218
2024-02-20,48020.321759184524,48611.31341199638,47657.32688613765,48399.31640625,219481
2024-02-21,47900.32312627176,49261.303894415556,47855.32376215239,48652.3125,323098
2024-02-22,48149.319392301426,49901.294627510404,48061.32063619504,49742.296875,140378
2024-02-23,49020.307609517185,49964.29427611689,48921.30900782929,49780.296875,181317
2024-02-26,49383.30271136219,50121.29229100307,48972.30851457031,50073.29296875,160517
2024-02-27,49566.29748204101,49948.292067917486,48711.309600039975,48782.30859375,285000
2024-02-28,48591.31492590798,48999.30917372183,48112.32167908731,48486.31640625,93317
2024-02-29,48486.31523406834,49228.304755046716,48170.31969683226,48403.31640625,619379
2024-03-01,49088.309314940954,49088.309314940954,48128.32282219628,48584.31640625,148474
2024-03-04,49999.296555033034,49999.296555033034,47747.32823819435,48588.31640625,201391
2024-03-05,47709.32337150912,49094.303729286104,47741.32291768158,48751.30859375,181110
2024-03-06,47712.32671252513,49114.306928628925,47712.32671252513,48996.30859375,169279
2024-03-07,48669.31338254593,48529.31535761155,47383.33152493439,47624.328125,132849
2024-03-08,48058.32035309565,48058.32035309565,46816.337917369885,46956.3359375,155421
2024-03-11,46712.3401937645,47843.32421875,46712.3401937645,47843.32421875,195811
2024-03-12,47843.3227619039,48490.31360353403,47786.323568746375,48292.31640625,209882
2024-03-13,48754.308693004416,48777.30836688277,47534.3259916309,48761.30859375,206007
2024-03-14,48999.30934860256,49005.30926403301,47700.32765791206,47944.32421875,235986
2024-03-15,47499.327411482234,48850.30828164882,46621.33984375,46621.33984375,758696
2024-03-18,46599.34173753817,47524.328671169555,45999.35021302051,46180.34765625,301420
2024-03-19,45799.35174675627,46597.340451863514,45329.35839913672,46088.34765625,177469
2024-03-20,45810.35143143469,46364.34358818776,44913.36413069913,44973.36328125,856814
2024-03-22,45466.3599733037,46034.351977720886,45008.36642044617,45786.35546875,146777
2024-03-25,46288.343774091714,46288.343774091714,44300.371957398886,44912.36328125,204210
2024-03-26,44846.366983004125,45846.35286796865,44685.369255524834,45385.359375,163667
2024-03-27,46012.34919386356,46012.34919386356,44781.36660508114,45016.36328125,90770
2024-03-28,44700.36743982961,46052.34830778894,44859.365189833705,45822.3515625,241442
2024-04-02,45999.351237258656,45886.352830958436,45047.364663826695,45422.359375,104672
2024-04-03,46018.350278057645,46018.350278057645,44421.37282539553,45097.36328125,208312
2024-04-04,44600.367897922486,45655.35294606733,44428.37033557091,45477.35546875,275031
2024-04-05,45199.36241975391,45350.360289784505,43933.380277643104,44861.3671875,164049
2024-04-08,45400.35945783362,45400.35945783362,43901.380606546365,45129.36328125,259969
