Date,Open,High,Low,Close,Volume
2024-01-02,20771.234179508236,20829.153967124174,20513.590986320105,20672.37109375,969106
2024-01-03,20596.475910046305,20599.471761087767,20161.0788920206,20258.943359375,1318556
2024-01-04,20471.648993069197,20570.512078450363,20226.98782217642,20333.83984375,1185412
2024-01-05,20333.83863165577,20503.603515625,20116.140133389345,20503.603515625,1458337
2024-01-08,20571.51032448601,20618.445323770033,20307.875434890655,20594.478515625,1628190
2024-01-09,20671.37334892017,20817.171441139606,20441.691422821055,20715.3125,2345974
2024-01-10,20618.44456320096,20795.19976675046,20380.773724529874,20657.390625,1939592
2024-01-11,20526.572452644417,20789.208723870175,20476.641602601496,20649.40234375,1832647
2024-01-12,20488.625968553664,20822.1640625,20489.62458560141,20822.1640625,1884571
2024-01-15,20378.777524880792,20400.747099318356,20145.101142226697,20340.830078125,2340775
2024-01-16,20349.817573120497,20369.789913461176,19819.5519370754,19954.365234375,2134479
2024-01-17,19871.479664274946,19863.490728282475,19412.11584470781,19499.994140625,2542432
2024-01-18,19522.962243545247,19842.519681802765,19585.875114202197,19691.728515625,2708510
2024-01-19,19971.341348673584,19949.371774711344,19607.84476129836,19708.705078125,4308406
2024-01-22,19972.34188563087,19873.478793297,19523.962810298457,19667.763671875,2461519
2024-01-23,19687.73277642505,19874.47414234904,19627.81576062056,19820.548828125,2231095
2024-01-24,19787.594310792418,20071.201516659945,19672.753364754513,19810.5625,2681585
2024-01-25,19810.561880142406,20040.243765031646,19638.799774920888,19722.68359375,3046691
2024-01-26,19572.89248051707,20182.048828125,19534.945035911987,20182.048828125,2230424
2024-01-29,20172.062441259397,20221.99328888628,19609.841096980734,19922.408203125,3637979
2024-01-30,19972.342021744596,19980.330958553295,19731.675300382572,19862.494140625,2595652
2024-01-31,19733.66958921598,19946.375,19649.78576524482,19946.375,3977585
2024-02-01,19558.912244810315,19907.42957215836,19372.170868838726,19801.576171875,3290942
2024-02-02,19736.666573535986,20293.89486477425,19787.596041014753,20105.15625,3491657
2024-02-05,20105.15490593494,20285.90457255066,19895.445347983008,20008.2890625,2145103
2024-02-06,20172.064442319195,20189.040932196396,19937.389435193203,20035.25390625,3095285
2024-02-07,19857.498372230562,19976.333791204434,19459.050202729934,19668.759765625,3725061
2024-02-08,19772.615347377163,19749.64715783223,19509.979093015536,19693.724609375,2880248
2024-02-09,19473.032424484532,19881.466796875,19605.848491789988,19881.466796875,1913748
2024-02-12,19493.004386512253,20098.16630547877,19522.962897352183,20005.294921875,2131035
2024-02-13,19931.39626275006,20130.121041360573,19842.519351713196,19880.466796875,1377595
2024-02-14,19757.634446252127,20283.90552804009,19839.52102823811,20250.951171875,2509889
2024-02-15,20002.297245559435,20370.78689526545,19964.349801958277,20295.890625,2094044
2024-02-16,20294.895399409885,20785.216397348686,20281.9133770612,20772.234375,3655048
2024-02-19,20074.1976419703,20863.105021194082,20096.167214556277,20761.24609375,1471661
2024-02-20,20471.6484375,20669.374602896343,20196.030146341465,20471.6484375,2046817
2024-02-21,20466.65623819436,20790.20815920802,20388.76410906144,20651.400390625,1553825
2024-02-22,20731.2890625,20821.164593117774,20493.61821486633,20731.2890625,1676632
2024-02-23,20771.233725694612,20771.233725694612,20446.683198730632,20594.478515625,1817047
2024-02-26,20641.411602684668,20641.411602684668,20244.96068801288,20474.642578125,1886457
