Date,Open,High,Low,Close,Volume
2024-01-02,2500.0,2547.0,2432.0,2480.0,6062576
2024-01-03,2462.0,2480.0,2335.0,2365.0,5995047
2024-01-04,2367.0,2414.0,2326.0,2340.0,7775215
2024-01-05,2341.0,2390.0,2342.0,2390.0,8288094
2024-01-08,2386.0,2390.0,2287.0,2326.0,6586862
2024-01-09,2368.0,2384.0,2326.0,2357.0,7314364
2024-01-10,2359.0,2372.0,2295.0,2295.0,5248514
2024-01-11,2350.0,2392.0,2291.0,2291.0,8843825
2024-01-12,2320.0,2482.0,2256.0,2396.0,15353900
2024-01-15,2329.0,2329.0,2281.0,2297.0,4728742
2024-01-16,2290.0,2319.0,2250.0,2267.0,8860729
2024-01-17,2220.0,2267.0,2118.0,2128.0,13371395
2024-01-18,2150.0,2209.0,2094.0,2128.0,15562298
2024-01-19,2142.0,2182.0,2094.0,2103.0,12723821
2024-01-22,2105.0,2148.0,2051.0,2130.0,13463840
2024-01-23,2142.0,2336.0,2132.0,2189.0,9338536
2024-01-24,2207.0,2299.0,2189.0,2255.0,10268924
2024-01-25,2239.0,2275.0,2222.0,2257.0,7476976
2024-01-26,2260.0,2280.0,2190.0,2270.0,6327068
2024-01-29,2224.0,2281.0,2204.0,2250.0,10373500
2024-01-30,2280.0,2345.0,2261.0,2275.0,11150753
2024-01-31,2251.0,2312.0,2223.0,2288.0,46356108
2024-02-01,2255.0,2299.0,2211.0,2284.0,6948205
2024-02-02,2329.0,2350.0,2237.0,2258.0,7195097
2024-02-05,2250.0,2289.0,2183.0,2183.0,9249523
2024-02-06,2240.0,2249.0,2177.0,2220.0,7293166
2024-02-07,2223.0,2247.0,2088.0,2127.0,14652271
2024-02-08,2105.0,2119.0,1995.0,2046.0,9318704
2024-02-09,2063.0,2046.0,1956.0,1973.0,12052327
2024-02-12,2000.0,2045.0,1961.0,2022.0,24082704
2024-02-13,2050.0,2074.0,1962.0,1964.0,17060575
2024-02-14,1980.0,2048.0,1953.0,2048.0,12978175
2024-02-15,2092.0,2182.0,2048.0,2168.0,11466367
2024-02-16,2170.0,2180.0,2105.0,2141.0,7687477
2024-02-19,2126.0,2162.0,2071.0,2085.0,6759450
2024-02-20,2065.0,2147.0,2042.0,2108.0,19274836
2024-02-21,1999.0,2108.0,1955.0,1994.0,33343154
2024-02-22,1966.0,2062.0,1968.0,2037.0,20782576
2024-02-23,2030.0,2067.0,1984.0,2005.0,10796281
2024-02-26,2010.0,2045.0,1950.0,2035.0,9676935
2024-02-27,2033.0,2025.0,1986.0,2007.0,6218683
2024-02-28,2015.0,2000.0,1943.0,1950.0,6699091
2024-02-29,1951.0,2016.0,1950.0,1987.0,20474098
2024-03-01,1980.0,1999.0,1901.0,1966.0,14441172
2024-03-04,1999.0,2050.0,1924.0,1932.0,12476918
2024-03-05,1942.0,2010.0,1790.0,1822.0,21777592
2024-03-06,1820.0,1985.0,1775.0,1953.0,16402028
2024-03-07,1996.0,2057.0,1993.0,2048.0,11398416
2024-03-08,2095.0,2157.0,2031.0,2129.0,13879898
2024-03-11,2130.0,2152.0,2047.0,2120.0,12719474
2024-03-12,2120.0,2144.0,2020.0,2060.0,12332400
2024-03-13,2016.0,2213.0,2029.0,2166.0,14559919
2024-03-14,2146.0,2180.0,2076.0,2090.0,17193870
2024-03-15,2083.0,2148.0,2070.0,2099.0,38256982
2024-03-18,2050.0,2100.0,1974.0,1982.0,20752439
2024-03-19,1982.0,1986.0,1885.0,1900.0,18410660
2024-03-20,1910.0,2007.0,1894.0,1939.0,36173424
2024-03-22,2100.0,2213.0,2071.0,2169.0,38984815
2024-03-25,2124.0,2200.0,2099.0,2193.0,18095471
2024-03-26,2170.0,2200.0,2107.0,2123.0,12241825
2024-03-27,2109.0,2200.0,2022.0,2055.0,12196779
2024-03-28,2060.0,2200.0,2055.0,2169.0,13415780
2024-04-02,2175.0,2268.0,2180.0,2230.0,20830679
2024-04-03,2253.0,2253.0,2187.0,2220.0,11088796
2024-04-04,2301.0,2425.0,2220.0,2425.0,24977723
2024-04-05,2359.0,2386.0,2289.0,2342.0,12930083
2024-04-08,2400.0,2548.0,2357.0,2543.0,25771369
2024-04-09,2550.0,3647.889892578125,2566.0,2600.0,31748567
2024-04-10,2650.0,3647.889892578125,2428.0,2574.0,34381208
2024-04-11,2565.0,2607.0,2480.0,2495.0,17088981
2024-04-12,2598.0,2738.0,2582.0,2717.0,32606533
2024-04-15,2627.0,2632.0,2495.0,2580.0,23147175
2024-04-16,2531.0,2508.0,2420.0,2448.0,18290444
2024-04-17,2466.0,2624.0,2411.0,2574.0,14813445
2024-04-18,2565.0,2575.0,2495.0,2541.0,10046812
2024-04-19,2545.0,2545.0,2428.0,2470.0,7231581
2024-04-22,2410.0,2465.0,2311.0,2371.0,9273367
2024-04-23,2360.0,2358.0,2244.0,2264.0,23052181
2024-04-24,2282.0,2325.0,2216.0,2277.0,8247311
2024-04-25,2270.0,2289.0,2175.0,2240.0,17057940
2024-04-26,2280.0,2335.0,2219.0,2219.0,18515657
2024-04-29,2256.0,2329.0,2206.0,2320.0,29482592
2024-04-30,2320.0,2344.0,2177.0,2177.0,18219220
2024-05-02,2160.0,2226.0,2076.0,2109.0,17579373
2024-05-03,2091.0,2135.0,2070.0,2099.0,13908160
2024-05-06,2115.0,2226.0,2139.0,2199.0,11717495
2024-05-07,2199.0,2275.0,2181.0,2256.0,11253665
2024-05-08,2262.0,2262.0,2140.0,2164.0,13209168
2024-05-09,2170.0,2265.0,2117.0,2221.0,15306047
2024-05-10,2330.0,2362.0,2236.0,2290.0,19198055
2024-05-13,2290.0,2305.0,2241.0,2305.0,20208480
2024-05-14,2298.0,2304.0,2167.0,2243.0,31445328
2024-05-15,2276.0,2370.0,2275.0,2367.0,19607426
2024-05-16,2424.0,2518.0,2403.0,2433.0,18197070
2024-05-17,2433.0,2586.0,2395.0,2574.0,14183198
2024-05-20,2600.0,2672.0,2539.0,2581.0,16937913
2024-05-21,2531.0,2556.0,2456.0,2527.0,8943353
2024-05-22,2510.0,2530.0,2403.0,2414.0,14827314
2024-05-23,2370.0,2419.0,2316.0,2318.0,10815491
2024-05-24,2345.0,2420.0,2309.0,2380.0,7032323
2024-05-27,2420.0,2455.0,2405.0,2411.0,4539699
