Date,Open,High,Low,Close,Volume,ma_200,tr,atr_14,is_hammer,is_shooting_star,feature_basic,feature_advanced
2024-01-02,6188.3397483676645,6398.283423191124,6253.32231438445,6397.28369140625,75807,,,,False,False,False,False
2024-01-03,6398.284107314726,6371.291346236992,6159.348185182192,6232.32861328125,75311,,144.96110880667402,,False,False,False,False
2024-01-04,6232.32850875,6302.309740000001,6200.3370887500005,6248.32421875,15282,,237.93550622405837,,False,False,False,False
2024-01-05,6297.310895075563,6297.310895075563,6038.380347079918,6098.3642578125,116023,,101.97265125000013,,False,False,False,False
2024-01-08,6098.363927467582,6245.3245008016365,6038.380019984294,6206.3349609375,70352,,258.9305479956456,,False,False,False,False
2024-01-09,6286.313840775465,6303.309282138885,6209.334488717623,6291.3125,103204,,206.94448081734208,,False,False,False,False
2024-01-10,6298.310402578349,6298.310402578349,6173.3439263367145,6292.31201171875,92220,,96.97432120138456,,False,False,False,False
2024-01-11,6298.3108125,6303.309471875,6198.337625,6248.32421875,177833,,124.96647624163415,,False,False,False,False
2024-01-12,6248.323823452891,6397.283863404007,6217.332137288564,6394.28466796875,87762,,104.97184687499976,,False,False,False,False
2024-01-15,6327.302410436379,6328.3021422124,6248.323600130727,6273.31689453125,43014,,179.9517261154433,,False,False,False,False
2024-01-16,6347.297515430767,6398.283839779006,6199.337201635877,6333.30126953125,67519,,145.96106783802315,,False,False,False,False
2024-01-17,6328.302959920147,6328.302959920147,6068.372664567977,6103.36328125,181797,,198.94663814312844,,False,False,False,False
2024-01-18,6240.325806885767,6240.325806885767,6049.3770358003485,6093.365234375,220094,,264.92860496327285,,False,False,False,False
2024-01-19,6179.342887541955,6180.342619444162,6047.37827645062,6143.3525390625,76696,,190.94877108541823,,False,False,False,False
2024-01-22,6230.329513068,6237.32763671875,6068.372937150635,6237.32763671875,64125,,132.96434299354132,170.81129218218328,False,False,False,False
2024-01-23,6237.326750447276,6237.326750447276,6112.360274440559,6190.33935546875,45896,,168.95469956811485,172.52512009371478,False,False,False,False
2024-01-24,6198.337834998022,6350.297085146361,6151.350435281102,6318.3056640625,116504,,124.9673622781911,164.45596695472426,False,False,False,False
2024-01-25,6298.310836943069,6381.288582890097,6156.34891014213,6361.2939453125,97958,,198.94664986525822,171.3826811415284,False,False,False,False
2024-01-26,6382.28820494186,6467.265413184351,6156.348804203004,6448.2705078125,128617,,224.93967274796705,168.95476148097993,False,False,False,False
2024-01-29,6448.270143400892,6458.267461452676,6288.3130545723425,6443.271484375,252610,,310.91660898134705,176.38134206412315,False,False,False,False
2024-01-30,6448.27082379925,6497.257687421911,6397.284496355256,6451.27001953125,425905,,169.9544068803334,181.5942053269052,False,False,False,False
2024-01-31,6471.264144712378,6708.200588756381,6458.267630904057,6511.25341796875,348927,,99.97319106665509,179.80897067154956,False,False,False,False
2024-02-01,6401.283121682009,6503.255771754094,6398.283926091653,6479.26220703125,37896,,256.93056922513097,190.66316512513035,False,False,False,False
2024-02-02,6544.244633125142,6598.230152555139,6398.2837842958925,6595.23095703125,89972,,112.96949187709743,185.87871982239136,False,False,False,False
2024-02-05,6531.2482108033155,6558.240970896946,6439.272880113907,6548.24365234375,62252,,199.9463682592468,189.73481270962162,False,False,False,False
2024-02-06,6641.218711307149,6641.218711307149,6496.25759236397,6497.25732421875,47195,,155.95807691734262,186.66420119349408,False,False,False,False
2024-02-07,6399.283958100818,6566.239187127976,6298.31103515625,6298.31103515625,147122,,144.96111894317892,178.09509504920166,False,False,False,False
2024-02-08,6357.294655459648,6278.315841529578,5999.390663219586,6092.36572265625,231562,,267.92815197172604,183.59362225536648,False,False,False,False
2024-02-09,6148.350842045803,6148.350842045803,6061.37417159735,6118.35888671875,110000,,298.9203719366642,195.44762432273242,False,False,False,False
2024-02-12,6189.3394253454935,6273.31689453125,6103.362492607695,6273.31689453125,151797,,86.97667044845275,189.59205081418511,False,False,False,False
2024-02-13,6288.3128711715635,6278.315553411355,6169.344789825075,6273.31689453125,86069,,169.95440192355545,192.805410788854,False,False,False,False
2024-02-14,6298.31078944201,6397.28424470467,6219.33197160615,6359.29443359375,75604,,108.97076358627965,186.37856176892697,False,False,False,False
2024-02-15,6398.283571543928,6387.286521655336,6078.3693929667315,6190.33935546875,125867,,177.95227309851998,183.0223189368236,False,False,False,False
2024-02-16,6072.371190618699,6377.289401540448,6073.370922457787,6198.33740234375,184767,,308.91712868860486,182.87949891591344,False,False,False,False
2024-02-19,6197.338054943678,6372.2911376368775,6188.340467833742,6265.31982421875,28304,,303.9184790826612,192.44836121607972,False,False,False,False
2024-02-20,6176.34317096511,6292.312061841115,6176.34317096511,6223.33056640625,71061,,183.9506698031355,198.44675255439975,False,False,False,False
2024-02-21,6182.341518692803,6239.326231914907,6008.38818359375,6008.38818359375,108638,,115.96889087600448,188.37806124374785,False,False,False,False
2024-02-22,6017.386155625,6285.314298125,6017.386155625,6248.32421875,107733,,230.9380483211571,196.80438670403782,False,False,False,False
2024-02-23,6199.336912061031,6341.298828125,6199.336912061031,6341.298828125,62742,,276.9261145312503,202.30294000918093,False,False,False,False
2024-02-26,6231.328107515341,6241.325425191445,6042.3788034369845,6058.37451171875,83006,,141.9619160639686,201.30321423393994,False,False,False,False
2024-02-27,6073.370833072295,6141.3525971297295,5859.42822265625,5859.42822265625,217803,,298.9200246880155,212.30027892999968,False,False,False,False
2024-02-28,5863.427388317741,6192.339171907943,5832.43570050225,6164.3466796875,117889,,281.9243744734795,213.30000910869634,False,False,False,False
2024-02-29,6128.3562445122925,6271.317899155891,5938.407192887931,6262.3203125,171727,,359.90347140569247,217.6559447850555,False,False,False,False
2024-03-01,6199.337150038682,6298.3106023615055,6050.3771056336245,6158.34814453125,279365,,332.91070626795954,235.222661629306,False,False,False,False
2024-03-04,6148.350516882913,6296.310822004649,6148.350516882913,6277.31591796875,120959,,247.933496727881,240.79259697247213,False,False,False,False
2024-03-05,6297.310442868904,6297.310442868904,6151.349603900994,6242.3251953125,66937,,147.96030512173547,243.57756422500466,False,False,False,False
2024-03-06,6214.333312712104,6249.323928211609,6048.377822057309,6186.3408203125,138228,,145.9608389679097,241.29246178710395,False,False,False,False
2024-03-07,6164.346746103589,6164.346746103589,5950.404124685138,5953.4033203125,89352,,200.94610615430065,233.5802458917965,False,False,False,False
2024-03-08,5938.407162525615,6067.372570600665,5937.407430680071,5976.39697265625,147587,,235.9366956273616,228.72440421641795,False,False,False,False
2024-03-11,5938.406862516521,5938.406862516521,5862.42724609375,5862.42724609375,100501,,129.96513992059408,224.86829493909357,False,False,False,False
2024-03-12,5883.422344326872,6043.379451394383,5839.434139883307,5923.41162109375,114481,,113.9697265625,224.72549748812895,False,False,False,False
2024-03-13,5917.412688876368,5917.412688876368,5806.4424559881645,5870.42529296875,159272,,203.9453115110764,222.79744485883748,False,False,False,False
