Date,Open,High,Low,Close,Volume,ma_200,tr,atr_14,is_hammer,is_shooting_star,feature_basic,feature_advanced
2024-01-02,19829.020150912267,20463.764708850933,19961.966648874222,20116.904296875,445772,,,,False,False,False,False
2024-01-03,20116.906315438264,20612.706838790185,20032.940097773826,20257.849609375,1014410,,501.79805997671065,,False,False,False,False
2024-01-04,20318.824283183978,20630.69879375383,20085.917998046876,20391.794921875,568019,,579.7667410163594,,False,False,False,False
2024-01-05,20491.75361277526,20339.81475671956,19842.015083589704,20063.92578125,438916,,544.7807957069526,,False,False,False,False
2024-01-08,20388.79616726895,20291.83518142666,19523.144479233702,20192.875,403109,,549.7798382852961,,False,False,False,False
2024-01-09,20191.873630401235,20349.81006770833,20108.907020929782,20241.853515625,385368,,768.6907021929583,,False,False,False,False
2024-01-10,19867.006517912847,20341.815478718312,20048.933319737258,20227.861328125,568561,,240.90304677854874,,False,False,False,False
2024-01-11,19867.00596905269,20430.779119570714,20083.918688312286,20381.798828125,274987,,292.8821589810541,,False,False,False,False
2024-01-12,20391.79514469928,20449.771817169505,20150.89207460749,20309.828125,342644,,346.86043125842843,,False,False,False,False
2024-01-15,20129.900687569392,20394.79410708503,20059.928840904886,20256.849609375,674789,,298.87974256201414,,False,False,False,False
2024-01-16,20254.848788847412,20291.83390483159,19835.017742540553,20150.890625,471995,,334.8652661801425,,False,False,False,False
2024-01-17,19941.975992830405,20058.928934743246,19687.078555328062,19993.955078125,895377,,456.8161622910375,,False,False,False,False
2024-01-18,19512.148906597482,20478.75997179624,19515.147699974517,20226.861328125,746283,,463.81206967193793,,False,False,False,False
2024-01-19,20143.894178036382,20580.718401726434,20142.894580270502,20550.73046875,553761,,963.612271821723,,False,False,False,False
2024-01-22,20549.73129387784,20446.772721873298,19992.95532682414,20182.87890625,820544,,437.82382145593147,484.3765077270782,False,False,False,False
2024-01-23,20110.908857885755,20514.746383537422,19234.261555914196,19423.185546875,1140224,,557.7751419258602,488.374870723446,False,False,False,False
2024-01-24,19093.3178165625,19591.1175271875,18533.5430415625,18742.458984375,1631306,,1280.484827623226,538.4261626239365,False,False,False,False
2024-01-25,18776.444854268764,19427.183014411916,18665.48949977431,19377.203125,706072,,1057.5744856249985,575.0542833323683,False,False,False,False
2024-01-26,19171.28653908118,20229.86062766176,19087.32032242323,20067.92578125,742953,,761.6935146376054,590.1909745003904,False,False,False,False
2024-01-29,20276.839450525,20157.887323603012,19306.230078749806,19373.203125,934053,,1142.54030523853,616.8945175750741,False,False,False,False
2024-01-30,19541.136990520637,19637.0983773481,19197.275354388912,19396.1953125,838882,,851.6572448532061,660.5198174375497,False,False,False,False
2024-01-31,19092.317248766616,19541.136643776892,19124.304377141514,19400.193359375,1069578,,439.82302295918635,671.0155934359876,False,False,False,False
2024-02-01,19458.17072024001,19467.167100414787,18900.395149403994,19392.197265625,1334520,,416.8322666353779,676.0135816771983,False,False,False,False
2024-02-02,19442.176199412534,19640.096553524803,19100.313769582244,19142.296875,637055,,566.7719510107927,695.1487394235397,False,False,False,False
