Date,Open,High,Low,Close,Volume,ma_200,tr,atr_14,is_hammer,is_shooting_star,feature_basic,feature_advanced
2024-01-02,7942.038146084538,7991.988071531611,7819.16132948474,7964.01611328125,195212,,,,False,False,False,False
2024-01-03,7845.090721400429,7830.100102187562,7434.347754967872,7538.28271484375,250507,,172.826742046871,,False,False,False,False
2024-01-04,7640.2189425652705,7685.190800304373,7467.327133923833,7531.287109375,191098,,529.6683583133781,,False,False,False,False
2024-01-05,7538.28274125653,7556.271484375,7422.355285604169,7556.271484375,115565,,217.86366638054005,,True,False,False,False
2024-01-08,7512.2992821727485,7599.244877163972,7436.346808387312,7526.29052734375,181535,,133.91619877083122,,False,False,False,False
2024-01-09,7534.285592229036,7703.179910452503,7534.285592229036,7669.201171875,171813,,162.89806877665978,,False,False,False,False
2024-01-10,7702.180475497298,7702.180475497298,7519.294913408807,7608.2392578125,141572,,176.88938310875255,,False,False,False,False
2024-01-11,7681.193462471392,7775.134678379837,7567.264753816469,7696.18408203125,202512,,182.8855620884915,,False,False,False,False
2024-01-12,7716.171454251735,7725.165825847158,7581.25588032038,7688.18896484375,144689,,207.86992456336793,,False,False,False,False
2024-01-15,7649.213225027537,7694.1850822428805,7611.2369900456915,7655.20947265625,95290,,143.90994552677785,,False,False,False,False
2024-01-16,7599.24438156168,7681.193097933071,7519.294414370079,7615.234375,226250,,82.948092197189,,False,False,False,False
2024-01-17,7500.306508594804,7529.288372518755,7400.369046788078,7410.36279296875,143556,,161.89868356299212,,False,False,False,False
2024-01-18,7818.107506360163,7568.2638560226915,7400.368922995911,7491.31201171875,100834,,214.86532821192213,,False,False,False,False
2024-01-19,7510.299983038163,7569.263083370732,7343.4044278595375,7376.3837890625,176757,,167.89493302678056,,False,False,False,False
2024-01-22,7344.403945711097,7471.324520089286,7267.4521014030615,7345.4033203125,188240,,225.85865551119423,198.728110148982,False,False,False,False
2024-01-23,7322.418420188327,7589.25146484375,7330.413417780999,7589.25146484375,227554,,203.8724186862246,200.94565848036441,False,False,False,False
2024-01-24,7305.4282904766715,7695.184382581447,7525.29070140757,7569.26318359375,123955,,258.8380470627508,181.60063624817673,False,False,False,False
2024-01-25,7405.365746495443,7595.246919482506,7466.3275967702375,7512.298828125,230272,,169.89368117387676,178.17420873341507,False,False,False,False
2024-01-26,7455.3350956580025,7570.26318359375,7455.3350956580025,7570.26318359375,297379,,128.9193227122687,177.8172890149463,False,False,False,False
2024-01-29,7545.278524362527,7565.266017142295,7430.350440878859,7461.3310546875,117720,,114.9280879357475,174.390861812024,False,False,False,False
2024-01-30,7405.366091796614,7529.288547313858,7407.364841079149,7454.33544921875,254477,,139.91274271489056,171.74967321246245,False,False,False,False
2024-01-31,7495.309664187666,7498.307788053342,7405.365948217414,7485.31591796875,321677,,121.92370623470833,167.39525493719222,False,False,False,False
2024-02-01,7433.348308295687,7499.307032192906,7385.378327279528,7452.33642578125,92672,,92.94183983592757,159.18610602808934,False,False,False,False
2024-02-02,7574.260441486437,7719.169765145961,7440.344238932118,7497.30859375,525227,,113.92870491337817,157.04458884141792,False,False,False,False
2024-02-05,7440.343952955612,7578.257648792801,7433.348330703001,7559.26953125,118608,,278.82552621384275,171.03583412832177,False,False,False,False
2024-02-06,7571.2622489209825,7624.22910467505,7468.326661323456,7525.291015625,84878,,144.90931808979985,169.82230802309374,False,False,False,False
2024-02-07,7724.166466272304,7644.216496379461,7449.338444765656,7624.22900390625,141122,,155.90244335159332,165.61067339021312,False,False,False,False
2024-02-08,7566.2654538054,7690.187910055812,7561.268580569496,7579.25732421875,137675,,194.87805161380493,167.538039003572,False,False,False,False
2024-02-09,7675.197039473684,7675.197039473684,7565.2658318770555,7595.2470703125,144561,,128.9193294863153,160.61380143036635,False,False,False,False
2024-02-12,7565.265753008868,7578.25762286212,7315.422101984797,7395.3720703125,381853,,109.93120759662816,153.90371492396662,False,False,False,False
2024-02-13,7346.40338557424,7474.323346580022,7319.420268799583,7432.349609375,140216,,279.82496832770266,155.40278072860605,False,False,False,False
2024-02-14,7495.309947455846,7494.310572796185,7350.400621805033,7398.37060546875,82258,,154.90307778043916,154.3320233433605,False,False,False,False
