Date,Open,High,Low,Close,Volume,ma_200,tr,atr_14,is_hammer,is_shooting_star,feature_basic,feature_advanced
2024-01-02,14082.489566335227,14105.470782457385,13738.7705078125,13738.7705078125,5717,,,,False,False,False,False
2024-01-03,13738.7697937668,13938.6064453125,13488.973979334676,13938.6064453125,1721,,366.7002746448852,,False,False,False,False
2024-01-04,13938.605445618985,14012.54500138786,13498.96484375,13498.96484375,7981,,449.6324659778238,,False,False,False,False
2024-01-05,13869.663260146775,14096.477867167401,13509.95727544446,13593.888671875,10055,,513.5801576378599,,False,False,False,False
2024-01-08,14267.337483143141,14267.337483143141,13439.014577230566,13579.8994140625,10634,,597.5130234174012,,False,False,False,False
2024-01-09,14110.465235093061,14268.336181640625,13588.8916015625,13588.8916015625,3639,,828.3229059125752,,False,False,False,False
2024-01-10,13789.728133821889,14268.3369140625,13588.892299107143,14268.3369140625,2658,,688.436767578125,,False,False,False,False
2024-01-11,14187.403026033311,14187.403026033311,13580.898790748979,13700.80078125,1829,,679.4453125,,False,False,False,False
2024-01-12,14026.533689618178,14188.4013671875,13640.848976397447,14188.4013671875,6536,,687.4381233135209,,False,False,False,False
2024-01-15,14029.531889076026,14078.491867892688,13750.75976479341,14080.490234375,2274,,547.5523907900533,,False,False,False,False
2024-01-16,14130.450051581844,14588.075997248969,13823.700782324622,14528.125,5986,,437.6416023940892,,False,False,False,False
2024-01-17,15188.584501541422,15437.381129452993,14038.524586978288,14812.8916015625,31258,,764.3752149243464,,False,False,False,False
2024-01-18,14897.821838920494,15317.478792129521,14288.320073545476,14863.849609375,94283,,1398.8565424747048,,False,False,False,False
2024-01-19,15408.40531196961,15964.950397162987,14864.849609375,14864.849609375,50805,,1029.1587185840453,,False,False,False,False
2024-01-22,14862.850590602608,15835.055876293789,14862.850590602608,15687.1767578125,3054,,1101.1007877879874,720.6967348526726,False,False,False,False
2024-01-23,16186.769222861842,16135.810875308387,14862.851369757402,15187.5859375,99149,,972.2052856911814,763.947092784551,False,False,False,False
2024-01-24,15488.34033006391,16186.769456617982,14979.756030470171,15375.4326171875,90288,,1272.9595055509853,822.7561670397769,False,False,False,False
2024-01-25,15428.387876916731,16086.849609375,14988.747266474184,16086.849609375,226419,,1207.0134261478106,872.2871147904876,False,False,False,False
2024-01-26,16085.850780151368,16085.850780151368,14992.744329223633,15986.931640625,14800,,1098.1023429008164,908.0434947535887,False,False,False,False
2024-01-29,15985.932580320732,15985.932580320732,15206.56965684738,15589.2568359375,151857,,1094.105280151367,927.0279500563595,False,False,False,False
2024-01-30,15589.256297235403,15909.994104658334,15163.604253739551,15898.00390625,57719,,780.3619837776205,933.5940369277521,False,False,False,False
2024-01-31,15981.93563056258,15986.931546670916,15237.544130420716,15682.1806640625,116805,,746.389850918782,938.3757896719508,False,False,False,False
2024-02-01,15587.259471318494,15587.259471318494,14491.155391828981,14588.076171875,7244,,749.3874162501997,942.8007391674279,False,False,False,False
2024-02-02,15118.640856466795,15118.640856466795,14489.155446409688,14762.931640625,186154,,1191.025272233519,988.7630878419611,False,False,False,False
2024-02-05,14489.156421141986,14886.831357740462,14489.156421141986,14823.8828125,26025,,629.4854100571065,1002.466216960748,False,False,False,False
2024-02-06,14489.155532507944,15116.642579912606,14489.155532507944,14737.9521484375,163753,,397.67493659847605,976.2733399374716,False,False,False,False
2024-02-07,14489.156262730467,15213.564116704647,14724.963508989647,15099.6572265625,27856,,627.487047404662,921.1755188610399,False,False,False,False
2024-02-08,15370.435497059974,15636.21823399152,14837.870839975338,15572.2705078125,44114,,488.60060771499957,882.5642252275367,False,False,False,False
2024-02-09,15107.650400390625,15986.931640625,15107.650400390625,15986.931640625,108698,,798.3473940161821,860.9389828152649,False,False,False,False
2024-02-12,15187.585573836275,15799.085729835473,15188.584757097713,15562.279296875,32390,,879.2812402343752,854.3015509969216,False,False,False,False
2024-02-13,15562.279281650757,15592.25477946453,14988.748090147225,15446.3740234375,162026,,798.346883527287,820.4006494238002,False,False,False,False
2024-02-14,15387.421765872356,15836.055036838374,14938.788494906337,15021.720703125,145352,,603.5066893173062,777.2930253644785,False,False,False,False
2024-02-15,15138.624973136199,15144.620072458938,14638.0341796875,14638.0341796875,30578,,897.2665419320365,762.9476110095657,False,False,False,False
2024-02-16,14639.033362907956,15282.507356881933,14638.0341796875,14638.0341796875,24676,,506.585892771438,720.9819404824278,False,True,False,False
2024-02-19,14687.993002165533,15114.644227466531,14639.033025491648,15067.6826171875,1110,,644.4731771944334,711.2755971550574,False,False,False,False
2024-02-20,14638.035252459738,14817.888245322725,14503.1455078125,14503.1455078125,19452,,476.61004777903145,692.0056112165038,False,False,False,False
2024-02-21,14488.15592209265,14763.93047619593,11890.279687786382,13628.8583984375,34650,,564.537109375,678.8020178682752,False,False,False,False
2024-02-22,13588.892409536375,13788.729062617791,12685.630737608368,13254.166015625,685744,,2873.650788409548,798.9895547379916,False,False,False,False
2024-02-23,13190.219036463048,13798.7216796875,13189.21985314084,13798.7216796875,136084,,1103.0983250094232,832.8190486631571,False,False,False,False
2024-02-26,13290.136328242668,13380.062820201305,13135.4327085153,13268.154296875,42624,,609.5018265466606,847.9495408023131,False,False,False,False
2024-02-27,13597.884057037434,13597.884057037434,12852.493395963886,12875.474609375,61278,,663.2889711722,850.5068210714229,False,False,False,False
2024-02-28,12837.506146884887,13307.122265271866,12837.506146884887,13263.158203125,6326,,745.3906610735485,868.8489677398908,False,False,False,False
2024-02-29,13532.937238897726,13662.8310546875,13190.217401852398,13662.8310546875,511588,,469.616118386979,845.3681623378048,False,False,False,False
2024-03-01,13488.974130783661,14047.517578125,13291.135843532167,14047.517578125,240243,,472.6136528351017,816.320477523571,False,False,False,False
2024-03-04,13756.754811969768,13897.6396484375,13578.900195719722,13897.6396484375,6670,,756.3817345928328,813.3229668853957,False,False,False,False
2024-03-05,13776.738101985906,13851.676842749537,13290.135878627396,13716.787109375,15117,,468.6173824052785,803.6880163916794,False,False,False,False
2024-03-06,13290.135859657958,13687.810776742677,13178.227340277333,13655.8369140625,288268,,607.5037698101041,782.9906755258271,False,False,False,False
2024-03-07,13559.914870954242,13988.564453125,13559.914870954242,13988.564453125,4021,,538.5597690976665,785.2745238348434,False,False,False,False
2024-03-08,14032.529707028452,14032.529707028452,13561.914391448105,13950.5966796875,23099,,428.64958217075764,769.8585527617237,False,False,False,False
2024-03-11,13560.914471794576,13788.728242761948,13560.914471794576,13588.8916015625,21091,,470.61531558034767,769.4303576046749,False,False,False,False
2024-03-12,13588.891992699533,14032.529348931783,13560.914862126328,13720.7841796875,24069,,389.68220789292354,756.9407217845265,False,False,False,False
2024-03-13,13561.913672908551,13901.635963396204,13560.914489701236,13594.88671875,24938,,471.61448680545436,585.366700241377,False,False,False,False
2024-03-14,13596.8856000964,13747.762270115107,13471.987694451776,13603.8798828125,124898,,340.72147369496815,530.911210861773,False,False,False,False
2024-03-15,14032.529768772894,14032.529768772894,13453.003475274725,13638.8515625,194267,,275.7745756633303,507.07355008439237,False,False,False,False
2024-03-18,13638.851975884363,13861.669850655222,11690.444550758026,12604.697265625,643767,,579.5262934981693,501.0905016791044,False,False,False,False
2024-03-19,11975.211427782868,12958.40776027668,11975.211427782868,12918.4404296875,366926,,2171.2252998971962,602.9358330236507,False,False,False,False
2024-03-20,13009.366478365384,13009.366478365384,12390.87201983173,12989.3828125,213676,,983.1963324938115,639.6201340312816,False,False,False,False
2024-03-22,12489.790411709533,12989.382028177915,12228.004404680101,12450.822265625,371839,,618.4944585336543,650.0401915811782,False,False,False,False
2024-03-25,12451.821287006913,12762.567268411114,12223.008329638546,12341.9111328125,65231,,761.3784078198987,650.3970968116829,False,False,False,False
2024-03-26,12341.911080393898,12492.787745965423,12169.052384076853,12378.880859375,165840,,539.5589387725686,655.4643508379179,False,False,False,False
2024-03-27,12290.952483577807,12389.871619897958,12181.042332110968,12239.994140625,184172,,323.73536188856997,635.1951788435226,False,False,False,False
2024-03-28,12091.116010463036,12536.751721616372,12091.116010463036,12513.7705078125,118202,,208.82928778698988,611.6430016070457,False,False,False,False
2024-04-02,12190.035639736072,12311.935996133434,11739.403994365503,11802.3525390625,65733,,445.63571115333616,612.8562965343727,False,False,False,False
2024-04-03,11690.44399861598,11861.304333980368,11590.525673841485,11686.447265625,542696,,774.3665134469975,634.5528106677049,False,False,False,False
2024-04-04,11690.44433386059,11899.273638627845,11593.523556049953,11745.3994140625,353491,,270.7786601388834,626.0597001138449,False,False,False,False
2024-04-05,11590.525189568014,11590.525189568014,11390.688548368566,11414.6689453125,70585,,305.7500825778916,614.212242669019,False,False,False,False
2024-04-08,11471.622797879723,11630.492933308944,11411.67180337813,11607.51171875,1223182,,354.71086569393447,615.2114849546595,False,False,False,False
2024-04-09,11616.504154431574,11667.46249882139,11532.572763671875,11590.525390625,433079,,218.82112993081319,611.143381688051,False,False,False,False
2024-04-10,11727.413848858812,11789.363210589172,11491.606600981953,11765.3828125,773710,,134.88973514951613,579.3836275202901,False,False,False,False
2024-04-11,11750.394623161765,11916.259037060136,11715.423210592831,11890.2802734375,206243,,297.7566096072187,445.5644353567203,False,False,False,False
2024-04-12,11960.222486413044,12065.13671875,11710.426695134576,12065.13671875,278088,,200.8358264673043,389.68154206911265,False,False,False,False
2024-04-15,11500.59886706061,11884.285223702771,11469.624187227519,11688.4453125,111475,,354.7100236154238,370.83979671781043,False,False,False,False
2024-04-16,11436.651279237005,11625.496910180198,11290.770527291468,11571.541015625,67630,,595.5125315224814,358.99223412513777,False,False,False,False
2024-04-17,11578.535639571475,11587.5282889291,11276.782294460103,11410.6728515625,121733,,397.67478520853183,348.8576517277066,False,False,False,False
2024-04-18,11390.689045655872,11482.613904620814,11162.875264742754,11307.7568359375,61989,,310.7459944689963,347.9298397691656,False,False,False,False
2024-04-19,11296.766403496697,11512.58999655837,11249.804788339758,11340.73046875,9596,,319.73863987806,355.8519363470992,False,False,False,False
2024-04-22,11750.394614361701,11803.35132478357,11382.695191055145,11505.5947265625,34157,,262.78520821861275,342.7911861374761,False,False,False,False
2024-04-23,11490.60821665314,11674.457948119589,11330.738884943183,11540.5673828125,73367,,462.6208560335708,320.5236391793742,False,False,False,False
