Date,Open,High,Low,Close,Volume,ma_200,tr,atr_14,is_hammer,is_shooting_star,feature_basic,feature_advanced
2024-01-02,4270.417692488649,4301.384464059912,4221.47021484375,4221.47021484375,93038,,,,False,False,False,False
2024-01-03,4304.381771312041,4304.381771312041,4170.525387613778,4211.4814453125,103510,,79.9142492161618,,False,False,False,False
2024-01-04,4211.481561175848,4243.447265625,4182.512641518803,4243.447265625,58465,,133.85638369826302,,False,False,False,False
2024-01-05,4188.506190530887,4244.446173042151,4173.522266643941,4212.48046875,106115,,60.93462410619668,,False,False,False,False
2024-01-08,4230.4611898713865,4252.437611636952,4156.540498478121,4207.48583984375,1086140,,70.92390639820951,,False,False,False,False
2024-01-09,4295.3914977898485,4302.383995576948,4209.483667834052,4258.43115234375,83124,,95.89711315883142,,False,False,False,False
2024-01-10,4267.421564617902,4295.391556146296,4246.4440709716055,4274.4140625,109858,,94.89815573319811,,False,False,False,False
2024-01-11,4320.364974381087,4320.364974381087,4234.457139052354,4307.37890625,285221,,48.94748517469088,,False,False,False,False
2024-01-12,4316.36898735642,4318.366843865263,4258.431148599958,4299.38720703125,378071,,85.9078353287332,,False,False,False,False
2024-01-15,4265.423505873059,4292.394567853989,4244.446013221224,4277.41064453125,172861,,59.935695265305185,,False,False,False,False
2024-01-16,4278.4093225990855,4300.3857421875,4228.462914443598,4259.4296875,848530,,54.94119381002565,,False,False,False,False
2024-01-17,4315.369859467455,4315.369859467455,4175.519910318048,4220.4716796875,529666,,71.92282774390242,,False,False,False,False
2024-01-18,4219.472938144329,4325.359332898899,4145.552247466612,4263.42578125,315558,,139.84994914940762,,False,False,False,False
2024-01-19,4336.347665880342,4342.341235563659,4241.449479227812,4254.435546875,373334,,179.80708543228684,,False,False,False,False
2024-01-22,4233.458048237645,4330.35409134266,4219.473052325581,4295.3916015625,693213,,100.89175633584728,91.3305900393614,False,False,False,False
2024-01-23,4289.398215678842,4337.346775146141,4261.42822265625,4261.42822265625,359139,,110.88103901707836,93.54250359656973,False,False,False,False
2024-01-24,4193.501146989446,4266.422915386356,4193.501146989446,4241.44970703125,184636,,75.91855248989123,89.40408708168603,False,False,False,False
2024-01-25,4209.483708792637,4255.4344089835395,4188.506215227226,4202.4912109375,197386,,72.92176839691001,90.26031167387984,False,False,False,False
2024-01-26,4195.498415783143,4236.454471746741,4172.523067315759,4204.48876953125,187228,,66.9281937563137,89.97490362803013,False,False,False,False
2024-01-29,4146.551560169301,4215.4776159755365,4146.551560169301,4185.509765625,210727,,63.931404430981274,87.69163871889798,False,False,False,False
2024-01-30,4156.540181473001,4216.475872626181,4147.549827800024,4178.5166015625,519371,,68.92605580623513,85.83648872411491,False,False,False,False
2024-01-31,4146.551207560689,4199.494405344528,4146.551207560689,4171.5244140625,755420,,68.92604482615661,87.2635286992196,False,False,False,False
2024-02-01,4145.55182892142,4204.488589862713,4106.593631011074,4115.583984375,243876,,52.943197783838514,84.90891173172713,False,False,False,False
2024-02-02,4144.553666935411,4171.524732013081,4115.58474518532,4123.576171875,2516131,,97.89495885163888,87.62028770217954,False,False,False,False
2024-02-05,4124.575017744913,4170.525720291841,4114.585734582537,4117.58251953125,862372,,55.94074763808112,87.6916844041835,False,False,False,False
2024-02-06,4112.587700296172,4147.550189854192,4080.621995557412,4110.58984375,161832,,55.93998570930398,86.5500528302836,False,False,False,False
