Date,Open,High,Low,Close,Volume,ma_200,tr,atr_14,is_hammer,is_shooting_star,feature_basic,feature_advanced
2024-01-02,11790.0,11932.0,11569.0,11677.0,406586,,,,False,False,False,False
2024-01-03,11677.0,11655.0,11456.0,11580.0,278471,,363.0,,False,False,False,False
2024-01-04,11941.0,11800.0,11403.0,11542.0,291880,,221.0,,False,False,False,False
2024-01-05,11642.0,11628.0,11445.0,11573.0,209412,,397.0,,False,False,False,False
2024-01-08,11629.0,11901.0,11501.0,11863.0,679556,,183.0,,False,False,False,False
2024-01-09,11862.0,11926.0,11695.0,11824.0,230770,,400.0,,False,False,False,False
2024-01-10,11671.0,12055.0,11704.0,11970.0,590918,,231.0,,False,False,False,False
2024-01-11,11900.0,12046.0,11800.0,11994.0,530765,,351.0,,False,False,False,False
2024-01-12,11959.0,12147.0,11307.0,11524.0,655395,,246.0,,False,False,False,False
2024-01-15,11359.0,11450.0,11327.0,11319.0,242479,,840.0,,False,False,False,False
2024-01-16,11300.0,11314.0,11038.0,11081.0,280742,,197.0,,False,False,False,False
2024-01-17,11055.0,11167.0,10940.0,11065.0,392800,,281.0,,False,False,False,False
2024-01-18,11113.0,11184.0,10786.0,11050.0,457504,,227.0,,False,False,False,False
2024-01-19,10948.0,11185.0,10924.0,10934.0,183155,,398.0,,False,False,False,False
2024-01-22,10933.0,11033.0,10780.0,11012.0,318181,,261.0,328.2857142857143,False,False,False,False
2024-01-23,11047.0,11138.0,10904.0,10934.0,240079,,253.0,320.42857142857144,False,False,False,False
2024-01-24,11069.0,11069.0,10815.0,11027.0,358962,,234.0,321.35714285714283,False,False,False,False
2024-01-25,10970.0,11203.0,10953.0,11203.0,746967,,254.0,311.14285714285717,False,False,False,False
2024-01-26,11180.0,11374.0,10981.0,11365.0,741864,,250.0,315.92857142857144,False,False,False,False
2024-01-29,11365.0,11365.0,10960.0,11120.0,585473,,393.0,315.42857142857144,False,False,False,False
2024-01-30,11126.0,11328.0,10935.0,11319.0,554319,,405.0,327.85714285714283,False,False,False,False
2024-01-31,11041.0,11367.0,11034.0,11225.0,381938,,393.0,330.85714285714283,False,False,False,False
2024-02-01,11270.0,11595.0,11068.0,11595.0,608804,,333.0,337.07142857142856,False,False,False,False
