Date,Open,High,Low,Close,Volume,ma_200,tr,atr_14,is_hammer,is_shooting_star,feature_basic,feature_advanced
2024-01-02,20107.73660110285,20353.427914065214,20015.852045035623,20115.7265625,165029,,,,False,False,False,False
2024-01-03,20031.83152598824,20121.718589723543,19725.216764135603,19959.921875,227471,,337.57586902959156,,False,False,False,False
2024-01-04,20182.642176872872,20182.642176872872,19775.154151924133,19970.908203125,208946,,396.5018255879404,,False,False,False,False
2024-01-05,20074.778358155454,20074.778358155454,19832.08327651208,20025.83984375,97221,,407.4880249487396,,False,False,False,False
2024-01-08,19936.951554992447,20225.588915947905,19904.991708796686,20162.66796875,94964,,242.69508164337458,,False,False,False,False
2024-01-09,20373.400516495847,20367.4080461248,19575.40321208484,20177.646484375,48702,,320.59720715121875,,False,False,False,False
2024-01-10,20361.41797226384,20732.95117899765,20232.579844122276,20540.193359375,225094,,792.0048340399626,,False,False,False,False
2024-01-11,20540.192569641935,20694.998066495697,20281.517578125,20281.517578125,280833,,555.3046946226495,,False,False,False,False
2024-01-12,20417.347680709132,20476.273646230915,19997.874705808295,20017.849609375,102525,,413.48048837069655,,False,False,False,False
2024-01-15,20086.76272133536,20131.70625367725,19995.876911488427,20051.806640625,164107,,478.3989404226195,,False,False,False,False
2024-01-16,20088.75890783295,20234.5756921893,19676.277182222184,19913.978515625,241140,,135.82934218882292,,False,False,False,False
2024-01-17,19072.463460105457,19498.072126108855,18904.617789005522,19315.240234375,315992,,558.2985099671168,,False,False,False,False
2024-01-18,19280.27494554876,19674.912141294008,19280.27494554876,19623.958984375,299550,,1009.3607266194776,,False,False,False,False
2024-01-19,19675.907924755367,19897.70398240215,19561.01357056897,19781.810546875,258567,,394.6371957452466,,False,False,False,False
2024-01-22,19232.314757075175,19997.611022213856,19232.314757075175,19901.69921875,324193,,336.69041183317677,455.63308229790243,False,False,False,False
2024-01-23,19901.702459640386,20959.729713895365,19876.72542342096,20669.99609375,466868,,765.2962651386806,486.1845391628373,False,False,False,False
2024-01-24,20530.123840697943,20724.94471514128,20192.43432499616,20331.306640625,234091,,1083.0042904744041,535.2204295118705,False,False,False,False
2024-01-25,19932.67076351831,20620.03868920126,19932.67076351831,20407.234375,198185,,532.5103901451184,544.150598454469,False,False,False,False
2024-01-26,20252.378998110304,20628.03360337346,20252.378998110304,20520.1328125,280854,,687.3679256829528,575.912944457296,False,False,False,False
2024-01-29,20680.984894927988,20481.16861574994,19983.626080596598,20116.50390625,214278,,375.65460526315655,579.8456157510058,False,False,False,False
2024-01-30,20140.483418526786,21005.687974330358,20140.483418526786,20980.7109375,393778,,536.5067319034024,561.5957513126801,False,False,False,False
2024-01-31,20893.789597124698,20980.70968008505,20691.975151630544,20968.720703125,502060,,889.184068080358,585.4442779882307,False,False,False,False
2024-02-01,20849.82999033345,20923.76201483317,20481.168949247003,20582.076171875,254338,,288.73578586945587,576.5339420952849,False,False,False,False
2024-02-02,21080.616097129358,21109.589455746267,20556.098398030168,20694.970703125,214064,,487.5517538779968,577.1877144849548,False,False,False,False
2024-02-05,20628.035483959342,20741.930773598095,20581.078654020555,20656.009765625,77305,,553.491057716099,607.0206941654744,False,False,False,False
2024-02-06,20781.890081732334,20869.80923596494,20542.110570188863,20706.958984375,79789,,160.85211957753927,578.6316662805046,False,False,False,False
2024-02-07,20929.7557028433,20929.7557028433,20481.168165940504,20780.892578125,150606,,327.698665776079,529.9415190774047,False,False,False,False
2024-02-08,20581.076816502464,20917.767247918062,20591.067630491056,20889.79296875,217851,,448.5875369027963,533.7951148743725,False,False,False,False
2024-02-09,20834.84303790371,20950.736477646533,20810.86508485347,20880.80078125,146278,,326.69961742700616,533.0814867025032,False,False,False,False
2024-02-12,20748.92121889345,20764.906520294757,20431.21335354252,20675.98828125,136914,,139.8713927930621,488.40828153495903,False,False,False,False
2024-02-13,20015.596464271395,20820.856060468,20015.596464271395,20558.09765625,183145,,449.58742770747995,443.16421990875017,False,False,False,False
2024-02-14,20558.09710393649,20879.801301218286,20419.224795171987,20752.91796875,146489,,805.2595961966035,462.6463060552848,False,False,False,False
2024-02-15,20581.07730065947,20932.753961330935,20415.229784547362,20830.84765625,276353,,460.57650604629816,446.4469189383809,False,False,False,False
2024-02-16,20482.168563443727,20934.752454924143,20482.168563443727,20858.822265625,94938,,517.5241767835723,456.5804597612678,False,False,False,False
2024-02-19,20202.424957849984,20974.714878843904,20481.16866801467,20906.77734375,68363,,452.58389148041533,450.58597115962584,False,False,False,False
2024-02-20,20880.802328279704,21139.564424118194,20862.818862159653,20988.703125,449081,,493.54621082923404,422.326124213117,False,False,False,False
2024-02-21,21084.6136548558,21152.551189376754,20820.8561678921,21027.666015625,219468,,276.74556195854166,421.4696796480517,False,False,False,False
2024-02-22,20927.758747239386,21129.5731964179,18912.611499748964,20272.361328125,729936,,331.6950214846547,410.3370559056701,False,False,False,False
2024-02-23,20220.40767087367,20495.15504522469,19615.96344730143,19892.708984375,382374,,2216.9616966689355,529.1563872594442,False,False,False,False
2024-02-26,19795.800782421935,20159.466447345803,19568.010201095993,19980.630859375,160734,,879.1915979232581,580.4663499984241,False,False,False,False
2024-02-27,19573.003607358238,19987.622386239036,19431.134049283366,19931.673828125,227961,,591.4562462498106,599.3061771751192,False,False,False,False
2024-02-28,19878.721436927874,19854.743484749844,19557.017245205967,19781.810546875,238358,,556.4883369556701,607.0133771788959,False,False,False,False
2024-02-29,19513.05872366463,19948.65821183819,19513.05872366463,19931.673828125,271138,,374.6565829190331,610.4388747140407,False,False,False,False
2024-03-01,19981.626077423734,20104.51307779989,19589.98620630623,19878.720703125,246788,,435.5994881735569,631.5623100983618,False,False,False,False
2024-03-04,19875.72646754388,19979.63093887315,19181.364856256907,19440.126953125,350927,,514.526871493661,636.2008417973747,False,False,False,False
2024-03-05,19730.857564720434,19730.857564720434,19192.35271751884,19425.138671875,299540,,798.2660826162428,635.7013051130632,False,False,False,False
2024-03-06,19432.132031443813,20406.236336361944,19374.18531381791,20136.484375,755434,,538.5048472015951,641.2676151955844,False,False,False,False
2024-03-07,19822.773626920054,20829.84765625,20107.51181973656,20829.84765625,398069,,1032.051022544034,678.0195327499031,False,False,False,False
2024-03-08,20728.938975694444,21204.50167824074,20829.846187789353,21040.65234375,407669,,722.3358365134409,697.2875288236906,False,False,False,False
2024-03-11,20800.87506879675,21156.548052682036,20687.978868855636,21102.59765625,198879,,374.65549045138687,688.7953345109872,False,False,False,False
2024-03-12,21014.67567913919,21215.491016759566,20800.8722848568,20982.705078125,359679,,468.56918382639924,702.4970217872627,False,False,False,False
2024-03-13,20981.707388720915,21527.205804712612,20758.912248123575,21447.279296875,547976,,414.61873190276674,708.420143959985,False,False,False,False
2024-03-14,21106.595460681478,21395.330009963734,21062.635875323627,21127.576171875,440822,,768.2935565890366,604.9438482399922,False,False,False,False
2024-03-15,20680.986495535715,21095.605306919642,20683.983739955358,20980.7109375,586398,,384.64342155137274,569.6189784991433,False,False,False,False
2024-03-18,21280.434405036318,21280.434405036318,20411.23356314047,20425.220703125,377273,,443.59243191964197,559.0572774755599,False,False,False,False
2024-03-19,20382.259226003218,20870.8100206464,20286.34741355793,20543.111328125,118231,,869.2008418958467,581.3938849712868,False,False,False,False
2024-03-20,20616.04414417424,20665.99821285409,20279.353721272048,20562.09375,162398,,584.4626070884697,596.380029554818,False,False,False,False
2024-03-22,20558.09864030653,20745.925949650828,20225.40452322328,20440.20703125,74893,,386.644491582043,592.8832440839955,False,False,False,False
2024-03-25,20769.902844216223,20769.902844216223,20206.420944935933,20458.189453125,109726,,520.5214264275492,593.3114265792732,False,False,False,False
2024-03-26,20548.106326134675,20576.08060420789,20166.457246707272,20196.4296875,52067,,563.4818992802902,576.5411277695623,False,False,False,False
2024-03-27,20406.237692213832,20406.237692213832,20090.527968309816,20214.4140625,138348,,409.623357500619,567.3353070766354,False,False,False,False
2024-03-28,20007.60258195355,20255.374750151117,19831.764269039148,20040.572265625,293865,,315.70972390401585,516.1680714594913,False,False,False,False
2024-04-02,20284.34978763564,20589.069616489942,20151.471960627045,20163.4609375,121596,,423.6104811119694,494.83054607367194,False,False,False,False
2024-04-03,19982.62610249534,20212.414813238494,19606.971514497825,20081.53515625,350506,,548.4973508649418,507.2478218174973,False,False,False,False
2024-04-04,20181.44322487066,20479.169466504893,19987.62144340408,20470.177734375,156059,,605.443298740669,517.0245443113737,False,False,False,False
2024-04-05,20121.497881401116,20525.126736618895,20008.601691699114,20495.154296875,117850,,491.5480231008114,522.5194936826626,False,False,False,False
2024-04-08,20592.066620667,20629.032632261034,20373.267795286083,20622.0390625,56674,,516.5250449197811,504.5360285634301,False,False,False,False
2024-04-09,20428.217537142966,20531.122922105344,19982.6272294418,20331.306640625,101264,,255.76483697495132,495.3304153794,False,False,False,False
2024-04-10,20481.16796875,20603.05589519817,20216.411407202744,20481.16796875,225398,,639.4118330581987,509.3175154607255,False,False,False,False
2024-04-11,19682.90107577656,20616.04302820412,20182.441735534354,20480.16796875,78806,,386.64448799542515,474.8492044678382,False,False,False,False
2024-04-12,20623.037356082423,20543.11084758099,19740.84851849785,19860.73828125,199537,,433.6012926697658,464.0733962950736,False,False,False,False
2024-04-15,19875.72551013128,20065.55097745434,19792.801753353313,19910.693359375,105778,,802.2623290831398,493.76038468800914,False,False,False,False
2024-04-16,19878.72078269676,19878.72078269676,19308.245355902778,19422.140625,97168,,272.7492241010259,476.0623702361146,False,False,False,False
2024-04-17,19422.142822265625,19488.08219604492,19008.52311401367,19182.36328125,165800,,602.4480034722219,478.84566339268116,False,False,False,False
2024-04-18,19091.446226872642,19440.125630984763,18959.56748377006,19328.228515625,140962,,479.55908203125,483.8410722877262,False,False,False,False
2024-04-19,19311.245025310905,19673.91158561862,18986.543559470665,19581.99609375,190951,,480.55814721470233,495.61595966706096,False,False,False,False
2024-04-22,19303.251068950736,19858.740308345004,18875.644244381052,19705.880859375,169062,,687.3680261479567,514.4557843124886,False,False,False,False
2024-04-23,19681.90405399935,19772.820463588894,19203.34405187419,19282.271484375,276919,,983.0960639639525,545.4985495338466,False,False,False,False
2024-04-24,19383.17966183036,19463.1061796875,19136.40653794643,19232.318359375,267712,,569.4764117147024,542.9294861748489,False,False,False,False
2024-04-25,19232.317075044244,19427.137949310927,18897.62480386815,19052.482421875,178480,,326.6996417410701,531.1546017920102,False,False,False,False
2024-04-26,19350.207507884723,19561.013671875,19089.447276598174,19561.013671875,297750,,529.5131454427756,532.0823232579385,False,False,False,False
2024-04-29,19549.024776261278,19879.720703125,19181.362839446017,19879.720703125,237879,,508.53125,550.1370670454419,False,False,False,False
2024-04-30,19781.810655281657,20538.115234375,19920.682962407118,20538.115234375,341092,,698.3578636789825,554.3474978040693,False,False,False,False
2024-05-02,20481.169955490772,20782.892556786293,19898.705463585837,20026.587890625,180287,,658.39453125,573.7582151793961,False,False,False,False
2024-05-03,19802.79244198341,20431.21464298273,19628.952278272944,19710.876953125,198758,,884.1870932004567,605.9429152173026,False,False,False,False
2024-05-06,19681.90404291101,20355.284922348674,19749.841579708875,19938.66796875,96415,,802.2623647097862,605.9429177620631,False,False,False,False
2024-05-07,19981.62706520089,19981.62706520089,19627.952266146836,19743.845703125,245541,,644.4079692236737,632.4899709851094,False,False,False,False
2024-05-08,19606.970610498174,20097.51953125,19598.977960058226,20097.51953125,294154,,353.67479905405344,614.7204563838116,False,False,False,False
2024-05-09,19899.704576817654,20096.523624996844,19725.86440228375,19773.8203125,194033,,498.541571191774,616.0763484667061,False,False,False,False
2024-05-10,19979.63118438087,20381.261934261915,19856.74416389488,20209.419921875,191066,,371.6551289662493,608.2975614489595,False,False,False,False
2024-05-13,20246.384310510675,20377.26397222678,19782.810546875,19782.810546875,201183,,607.4416217619146,602.5885325642422,False,False,False,False
2024-05-14,19859.739787907074,19946.65986847594,19499.071407615575,19833.763671875,196605,,594.4534253517813,574.8283440919442,False,False,False,False
2024-05-15,19671.912373182342,20532.1214414053,19671.912373182342,20526.126953125,148941,,447.58846086036647,566.1220618880632,False,False,False,False
2024-05-16,20347.291641692595,20663.00136175421,20301.33389763299,20471.177734375,132145,,860.2090682229573,604.2298780653408,False,False,False,False
2024-05-17,20214.414238803984,20655.009142145682,20214.414238803984,20531.123046875,128499,,361.6674641212194,592.2409008280868,False,False,False,False
2024-05-20,20487.162430970035,20580.076997734894,20181.443533872756,20296.337890625,109242,,440.5949033416982,587.3883046382081,False,False,False,False
2024-05-21,20453.194411484073,20456.19165568271,20140.481933426505,20418.2265625,151381,,398.63346386213743,565.9794189370049,False,False,False,False
2024-05-22,20180.445251539142,20673.991464433857,20180.445251539142,20518.134765625,119846,,315.70972225620426,541.5019325803052,False,False,False,False
2024-05-23,20581.077951236464,20695.97231843997,20431.215733144938,20483.16796875,134703,,493.5462128947147,513.5990125584665,False,False,False,False
2024-05-24,20482.169116564764,20810.866918591488,20478.17279070426,20680.986328125,161121,,264.756585295032,475.20574260026973,False,False,False,False
2024-05-27,20730.939294282194,20758.913573811828,20281.35265898451,20380.26171875,48070,,332.6941278872291,452.9404682190951,False,False,False,False
2024-05-28,20379.262006890138,20378.262925509272,19152.390071187565,19801.79296875,181620,,477.5609148273179,461.789476488614,False,False,False,False
2024-05-30,19480.089544677736,19639.942572021486,19032.501068115234,19182.36328125,245295,,1227.871647562435,513.8844819436612,False,False,False,False
2024-05-31,19039.494817007213,19482.087890625,19002.528804086538,19482.087890625,1031861,,769.2919006347656,542.2871084914124,False,False,False,False
2024-06-03,19657.924528894473,19881.71875,19391.169809987437,19881.71875,447462,,479.559086538462,533.1526416897372,False,False,False,False
2024-06-04,19956.64875890032,19924.678157634495,19579.995112737342,19731.85546875,472566,,490.5489400125625,525.7308927369359,False,False,False,False
2024-06-05,19716.87153082813,19843.75486928342,19602.976250639917,19759.83203125,168784,,344.6830448971523,518.3805058824206,False,False,False,False
2024-06-06,19609.968806063865,19827.768541122045,19491.078125,19491.078125,277065,,240.77861864350416,474.13547376960247,False,False,False,False
2024-06-07,19082.454159295,19723.864398576017,19082.454159295,19553.021484375,326477,,336.69041612204455,472.35139891251856,False,False,False,False
2024-06-10,19008.522283312395,19621.958248935953,19008.522283312395,19483.0859375,185357,,641.4102392810164,486.6953514796127,False,False,False,False
2024-06-11,19705.881961326413,19713.874612699896,19232.317367447446,19367.193359375,514510,,613.4359656235574,502.03838731971416,False,False,False,False
2024-06-12,19482.08672366855,19520.051815745446,19182.36231253519,19519.052734375,222364,,481.55724525245023,513.8846389623031,False,False,False,False
2024-06-13,19265.286822518694,19893.7090291963,19265.286822518694,19808.787109375,296364,,337.68950321025477,502.7520168419846,False,False,False,False
2024-06-14,19483.08536064453,20063.55162363281,19483.08536064453,19981.626953125,164114,,628.4222066776056,528.7281326550255,False,False,False,False
2024-06-18,19158.38653037383,21604.138002336447,19712.87675379673,21380.34375,381313,,580.4662629882805,546.4261423051006,False,False,False,False
2024-06-19,21414.31003393491,21809.94625551923,21266.44599152461,21524.208984375,387047,,1891.2612485397185,647.4047375702721,False,False,False,False
2024-06-20,21510.223850109833,21507.22660572756,20819.85856072637,21035.66015625,215907,,543.5002639946179,598.521067315428,False,False,False,False
2024-06-21,20810.865620293454,21393.330078125,20810.865620293454,21393.330078125,663053,,704.3504236486297,593.8823903878468,False,False,False,False
2024-06-24,21145.55778025853,21477.25280426258,20890.79202386987,20940.74609375,236111,,582.4644578315456,601.2327740516386,False,False,False,False
2024-06-25,20930.755612264293,21524.209971867396,20365.275532238444,20531.123046875,253220,,586.4607803927101,608.0836197930777,False,False,False,False
2024-06-26,20455.193728937844,20844.835496754866,19390.17289690464,20011.6015625,415833,,1158.9344396289525,666.244433702492,False,False,False,False
2024-06-27,19631.95016541773,19980.629585658484,19157.3864845743,19581.99609375,389421,,1454.662599850224,752.9504323601149,False,False,False,False
2024-06-28,19522.048677642986,20013.59667914761,19506.063376781047,19878.720703125,567253,,854.215077925699,789.9164796318045,False,False,False,False
2024-07-01,20481.16854064374,21276.437328856053,20181.44412297578,21161.54296875,512967,,507.53330236656257,780.353841280772,False,False,False,False
2024-07-02,21080.616618359905,21279.43380826766,20585.072265625,20585.072265625,408729,,1397.7166257310528,836.3738884313074,False,False,False,False
2024-07-03,20484.64694649419,21323.01859469461,20335.758536980647,21074.205078125,523593,,694.3615426426586,851.5741953877508,False,False,False,False
2024-07-04,21429.93915367647,21368.98483639706,20879.35179595588,21234.0859375,215323,,987.2600577139638,897.9720921380158,False,False,False,False
2024-07-05,21429.94079009434,21302.036639150945,20877.3548879717,21184.125,151219,,489.6330404411783,888.0585802639853,False,False,False,False
2024-07-08,21268.06074228762,21580.826341438908,21173.131886315183,21442.9296875,128490,,424.68175117924693,876.9311151347686,False,False,False,False
2024-07-09,21284.05011792453,21448.9265625,21000.26278301887,21184.125,152058,,407.69445512372477,770.9620584621977,False,False,False,False
2024-07-10,21119.172338169643,21170.134145089287,20915.32511049107,20984.2734375,192902,,448.6637794811322,764.1880238540915,False,False,False,False
2024-07-11,20939.308582647307,21166.13860165284,20513.62757781754,20566.587890625,312939,,268.7998895089295,733.0772714155415,False,False,False,False
2024-07-12,21483.90029181865,21004.25972716409,20495.64087839499,20957.294921875,274088,,652.5110238353009,738.0805975586669,False,False,False,False
2024-07-15,20994.266116042458,21557.84375,20750.44884177714,21557.84375,474175,,508.61884876910335,732.5204595855521,False,False,False,False
2024-07-16,21583.824318648498,21605.807843417493,21309.030259036077,21411.953125,122898,,807.394908222861,707.4104930565455,False,False,False,False
2024-07-17,21062.215748048693,21571.833834750698,21062.215748048693,21443.9296875,308859,,296.7775843814161,624.7044205230593,False,False,False,False
2024-07-18,21607.806072674946,22123.419647106144,21264.06368972081,22047.4765625,552705,,509.6180867020048,600.0903497213668,False,False,False,False
2024-07-19,21888.596600708,22166.38842243805,21753.69769447218,22017.5,313611,,859.3559573853345,625.2205393655648,False,False,False,False
2024-07-22,22145.40211008523,22224.34294424716,21866.611062855114,21983.5234375,271109,,412.6907279658699,554.8615466680518,False,False,False,False
2024-07-23,22083.44841128308,22016.498590307696,21633.785434582744,21975.529296875,188292,,357.7318813920465,530.8165708644366,False,False,False,False
2024-07-24,21237.083655377468,21988.520483535558,21237.083655377468,21705.732421875,308865,,382.71315572495223,487.6346492937929,False,False,False,False
2024-07-25,21736.709241914265,21912.577436028958,21540.856025741086,21885.59765625,149134,,751.4368281580901,506.3349198450009,False,False,False,False
2024-07-26,21883.59833096591,22049.4740078125,21774.67996484375,21983.5234375,84377,,371.72141028787155,502.5520383527598,False,False,False,False
2024-07-29,21882.599998034122,22103.43449274007,21860.616473674258,22039.482421875,136489,,274.7940429687478,493.05915177026145,False,False,False,False
2024-07-30,22043.481176250167,22435.187641394776,21822.646664013027,22250.326171875,335287,,242.81801906581313,478.3558831691672,False,False,False,False
2024-07-31,21509.878245917756,22464.16300503935,21851.62210729952,22267.310546875,443574,,612.5409773817482,502.9088180172257,False,False,False,False
2024-08-01,22477.15483108108,22477.15483108108,22043.47984234234,22183.375,259973,,612.5408977398292,500.0538090104063,False,False,False,False
2024-08-02,22183.376453241683,22318.27536410599,21805.65950282162,22078.455078125,342796,,433.67498873873774,494.70067615109446,False,False,False,False
2024-08-05,21925.567994429068,21987.52156364129,21516.87428785166,21888.595703125,332287,,512.6158612843683,473.64502994120215,False,False,False,False
2024-08-06,21883.598851915944,22051.473034889546,21425.941853095053,21689.744140625,271730,,561.5807902733395,492.5595446477681,False,False,False,False
2024-08-07,21605.80800680052,21810.654489151555,21590.81923979922,21792.66796875,140360,,625.531181794493,500.83905144008867,False,False,False,False
2024-08-08,21791.66772251781,22324.26855230972,21483.89838747858,22161.390625,238014,,219.83524935233436,455.15900086630296,False,False,False,False
2024-08-12,21785.6729973698,22284.29930806091,21404.95831926697,21690.744140625,210820,,840.3701648311398,485.7075320709651,False,False,False,False
2024-08-13,22066.461275923295,22066.461275923295,21488.89416015625,21983.5234375,134430,,879.3409887939379,522.9653254568145,False,False,False,False
2024-08-14,22035.486123707917,22379.228515625,21884.599201674548,22379.228515625,179779,,577.567115767044,536.8834654598211,False,False,False,False
2024-08-15,22084.447574659356,22479.1517415292,22083.44832360399,22413.201171875,161972,,494.62931395045234,518.5400715878469,False,False,False,False
2024-08-16,22483.14950980392,22908.830473856207,22142.404888344226,22474.15625,1153543,,395.7034179252114,520.2530721333712,False,False,False,False
2024-08-19,22483.15027169433,22780.92710640388,22335.26110546274,22727.966796875,163430,,766.4255855119809,555.3696108864593,False,False,False,False
2024-08-20,22384.224879728165,22829.89089001158,22384.224879728165,22653.0234375,122809,,445.6660009411389,569.8587524489825,False,False,False,False
2024-08-21,22535.11169335484,22547.102707026366,22228.34159359163,22379.228515625,100648,,445.6660102834139,557.9391119419587,False,False,False,False
2024-08-22,22777.92871480052,22682.9998607577,22297.288938015303,22482.150390625,143573,,424.68184390836905,544.5206080968544,False,False,False,False
2024-08-23,22830.890174278848,23359.49403029222,22583.075890174277,23278.5546875,263304,,385.7109227423971,541.0946033828301,False,False,False,False
2024-08-26,23381.475953814996,24976.280672917896,23021.745566047426,23714.2265625,319977,,877.3436396672187,567.1465875530337,False,False,False,False
