,ABN.AS,ADYEN.AS,ASML.AS,HEIA.AS,JDEP.AS,PHIA.AS,RAND.AS,SHELL.AS,TKWY.AS,UNA.AS,WKL.AS,ACR1.F,XCA.F,AIR.F,AXA.F,BSN.F,BNP.F,CAR1.F,CAJ1.F,GZFB.F,76B.F,LOR.F,LVMHF,MCHA.F,MOS.F,RNL.F,TH1.F,VACE.F,ADS.DE,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,CBK.DE,CON.DE,1CO.DE,DBK.DE,DB1.DE,DHL.DE,DTE.DE,EOAN.DE,FME.DE,HEI.DE,IFX.DE,LHA.DE,PAH3.DE,PUM.DE,RWE.DE,SAP.DE,SIE.DE,VOW3.DE,VNA.DE
Start,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2025-09-01 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-12-27 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00,2024-01-02 00:00:00
End,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00
Duration,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,32 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,280 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00,640 days 00:00:00
Exposure Time [%],0.0,0.0,18.0,19.555555555555557,13.111111111111112,14.888888888888888,7.333333333333333,0.0,1.5555555555555556,0.0,20.666666666666668,12.723214285714285,4.017857142857143,5.580357142857143,0.0,0.0,0.0,25.0,55.58035714285714,0.0,0.0,21.651785714285715,27.2108843537415,15.401785714285715,0.0,10.9375,36.607142857142854,6.919642857142858,15.848214285714285,0.0,0.0,18.526785714285715,23.883928571428573,13.392857142857142,0.0,0.4464285714285714,0.0,0.0,1.3392857142857142,6.7114093959731544,0.0,15.401785714285715,0.0,0.0,0.0,0.0,32.589285714285715,37.723214285714285,8.482142857142858,1.7857142857142856,0.0,16.741071428571427,2.455357142857143
Equity Final [$],1000.0,1000.0,1008.5453355945401,987.6108383025593,1226.8513703452222,960.7006839695703,1089.6499852320028,1000.0,1280.680175234436,1000.0,910.1475971240001,1096.5141266498567,1046.047380626446,1062.087128274881,1000.0,1000.0,1000.0,1228.8457100111411,165.31830863434675,1000.0,1000.0,998.2355893040157,1033.3216330981427,1007.8482832930197,1000.0,1113.2048502914427,1019.2678084672227,1238.476821946144,941.5122532054767,1000.0,1000.0,1017.7230960302446,814.9781216159571,998.6487179361825,1000.0,1017.6228204917908,1000.0,1000.0,983.394703097534,1015.3070582660703,1022.4560026836396,1126.0740427550666,1000.0,1000.0,1000.0,1000.0,1061.095987663667,791.2026520047052,1030.086106682035,1017.7237633666992,1000.0,936.2774043051589,1078.852291776657
Equity Peak [$],1000.0,1000.0,1061.4412307866016,1035.5309524002075,1232.3071499504822,1000.0,1089.6499852320028,1000.0,1280.680175234436,1000.0,1061.8962436297236,1160.89425091362,1059.6535158452987,1081.47828565979,1000.0,1000.0,1000.0,1313.954012417452,1000.0,1000.0,1000.0,1012.5755227448193,1131.9390835612794,1053.4461330576896,1000.0,1113.2048502914427,1118.4904846146835,1255.635454210758,1004.2353587341308,1000.0,1000.0,1041.8117358340223,1035.5281010131835,1030.2060932647987,1000.0,1017.6228204917908,1000.0,1000.0,1000.594654269409,1056.1195975494384,1026.6560320568085,1126.0740427550666,1000.0,1000.0,1000.0,1000.0,1097.6869623378918,1000.0,1081.108833675115,1025.5238121948241,1000.0,1010.6110241317749,1098.3582126960755
Return [%],0.0,0.0,0.854533559454012,-1.2389161697440727,22.68513703452222,-3.9299316030429736,8.96499852320028,0.0,28.06801752344361,0.0,-8.985240287599993,9.651412664985672,4.604738062644605,6.208712827488102,0.0,0.0,0.0,22.88457100111411,-83.46816913656532,0.0,0.0,-0.17644106959843384,3.3321633098142684,0.7848283293019678,0.0,11.320485029144265,1.9267808467222722,23.84768219461439,-5.848774679452333,0.0,0.0,1.772309603024462,-18.50218783840429,-0.13512820638175072,0.0,1.7622820491790776,0.0,0.0,-1.6605296902465965,1.5307058266070273,2.2456002683639555,12.607404275506656,0.0,0.0,0.0,0.0,6.109598766366708,-20.87973479952948,3.008610668203505,1.7723763366699243,0.0,-6.372259569484107,7.885229177665701
Buy & Hold Return [%],135.25641801923294,24.706697418726673,34.61906258755292,-24.167842912571285,36.456698745311236,20.78184200788808,-28.974058170341692,11.745990647808952,46.83287241610113,21.76123061156366,-9.0623749732447,23.20026051516293,49.102722215070536,47.528046632878166,51.37346249305262,33.471079738325514,42.748949402401536,-14.88748826583384,-99.3784615244621,42.36701100304712,7.387868407034241,-12.527265161758635,-15.506772815631253,4.057315096580612,38.970581532349826,4.046836376233013,-85.37483093422239,36.74973730469709,4.218126321528694,62.15950715996301,1.8247552347539668,-15.205975632713162,-31.878258560951505,-4.96798663287972,208.83433427360592,-18.887047128661827,3.1304334557574727,156.57676813361994,27.007711909894184,-4.52343699455336,41.03185813766591,42.57798480297231,24.628940003703637,144.8388150353211,-6.044015169274859,3.417441216023281,-18.56782774940305,-55.5944789197247,1.768458794829985,71.23062643410138,51.22185974397308,-4.774827722478628,3.0370465450358224
Return (Ann.) [%],0.0,0.0,0.47764282387019463,-0.6956953994029069,12.130431474757009,-2.2201569238900487,4.925423235166249,0.0,14.859463814380192,0.0,-5.135740057733873,5.319309968720698,2.5646347866171926,3.446328618480421,0.0,0.0,0.0,12.290305576974792,-63.66664214942182,0.0,0.0,-0.09928644034665757,1.8907088921811699,0.44071085790866604,0.0,6.218090085182881,1.0792878163893294,12.784504087075298,-3.3332512929141522,0.0,0.0,0.9930916218857222,-10.870884450282347,-0.0760320985557339,0.0,0.9874941885887667,0.0,0.0,-0.9374680668451707,0.8600879693374086,1.2570111070006273,6.90706532994303,0.0,0.0,0.0,0.0,3.392015914989388,-12.342950066934444,1.6813633022967345,0.9931288721524822,0.0,-3.63594759602337,4.361693652736376
Volatility (Ann.) [%],0.0,0.0,10.855345491426831,8.808847168914609,16.668946667099217,12.179735941190275,7.718062767345579,0.0,15.05790971893164,0.0,11.624842511558912,9.6618949367629,4.84530425465225,3.9892023870023428,0.0,0.0,0.0,18.74668799064758,22.910095020345196,0.0,0.0,7.202695657293518,12.741225862022318,6.5897798409064094,0.0,10.446435303731318,40.2432754890285,10.631751722254492,11.155320182016819,0.0,0.0,12.207445283999498,8.403654333052861,7.338271105162389,0.0,1.2921107464809007,0.0,0.0,2.747409421140427,4.999770175449732,1.2189203582203116,5.640911768191827,0.0,0.0,0.0,0.0,12.654590265411553,29.746755158850245,6.247791902063417,6.02374652429359,0.0,7.502600629299643,6.4276082443716565
